client_id,server_round,cosine_similarity,spearman_rank_correlation,top_10_overlap
1,10,0.9787446510516986,0.9560260586319219,0.7
2,10,0.9719785836744504,0.9472961760263638,0.7
3,10,0.9216965185027227,0.9531755903000019,0.7
4,10,0.9620363966320093,0.9500117493672129,0.8
5,10,0.9397775452608261,0.9419788273615636,0.6
