,pred_BENIGN,pred_BRUTEFORCE,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,3740,0,0,0,0,410,48,0
true_BRUTEFORCE,33,0,0,0,0,17,0,0
true_DDOS,399,0,125066,3242,577,84,1,0
true_DOS,363,0,23911,3755,2719,16,2,0
true_MIRAI,16,0,111,2,9869,0,10,0
true_RECON,1507,0,0,0,0,1108,10,0
true_SPOOFING,1348,0,0,1,0,295,222,0
true_WEB,57,0,0,0,0,34,4,0
