round,client_id,num_examples,loss,accuracy,balanced_accuracy,precision,recall,f1,personalized_loss,personalized_accuracy,personalized_balanced_accuracy,personalized_precision,personalized_recall,personalized_f1
1,1,306280,0.35911011695861816,0.931859736189108,0.44336480015761615,0.3810744154117301,0.44336480015761615,0.3579734257325669,,,,,,
1,2,29801,0.8397924900054932,0.44860910707694374,0.38553175120337435,0.3888775186262512,0.38553175120337435,0.21062522121284533,,,,,,
1,3,176718,0.36161667108535767,0.9174447424710556,0.38991865796405856,0.3936592983453889,0.38991865796405856,0.3142579010895627,,,,,,
1,4,103193,1.1904419660568237,0.11653891252313626,0.3853613770416836,0.2743054193804545,0.3853613770416836,0.07625598721174257,,,,,,
1,5,28325,0.6075401902198792,0.8418358340688438,0.39549932976005425,0.443279159653296,0.39549932976005425,0.3855272088294366,,,,,,
2,1,306280,0.35707053542137146,0.9355034608854643,0.4584684776089401,0.383891640354386,0.4584684776089401,0.37377022360100864,,,,,,
2,2,29801,0.7967295050621033,0.4563269688936613,0.40082712514445296,0.3913816806165819,0.40082712514445296,0.22016487679385222,,,,,,
2,3,176718,0.3654552698135376,0.9200590771738023,0.40603375439291367,0.3984933776790645,0.40603375439291367,0.3238243085094138,,,,,,
2,4,103193,1.106069564819336,0.1248146676615662,0.40945569717945485,0.2769948507957477,0.40945569717945485,0.08507558391211487,,,,,,
2,5,28325,0.5897769331932068,0.8387643424536628,0.40757201435284246,0.4447007515163656,0.40757201435284246,0.39504363413084753,,,,,,
3,1,306280,0.37537312507629395,0.9443352487919551,0.4633588273888156,0.3969034144564046,0.4633588273888156,0.38375563657551554,,,,,,
3,2,29801,0.7442740797996521,0.4925002516694071,0.4107018383313864,0.3977803589667388,0.4107018383313864,0.24514122495990687,,,,,,
3,3,176718,0.3811196982860565,0.9310143844995983,0.41825426356018724,0.41085341829342154,0.41825426356018724,0.35825665487393077,,,,,,
3,4,103193,0.9935560822486877,0.1788299593964707,0.4159036093107554,0.2790053244982834,0.4159036093107554,0.10755240462343016,,,,,,
3,5,28325,0.558024525642395,0.8551456310679612,0.42313292305967,0.45531360243061897,0.42313292305967,0.4218626865725607,,,,,,
4,1,306280,0.3701160252094269,0.9577902572809194,0.4701680565850417,0.40935253226703316,0.4701680565850417,0.40478993679551406,,,,,,
4,2,29801,0.7431764006614685,0.48968155431025806,0.4242134227165334,0.4012304567806779,0.4242134227165334,0.2499063645245262,,,,,,
4,3,176718,0.3806237578392029,0.9408549214001969,0.42672354591886774,0.4248369183109216,0.42672354591886774,0.37191439899392575,,,,,,
4,4,103193,0.9884921312332153,0.16761795858246198,0.42040635075778043,0.27977319942640866,0.42040635075778043,0.10863619462051306,,,,,,
4,5,28325,0.5598540902137756,0.8573698146513681,0.4267560443405921,0.4553065002005708,0.4267560443405921,0.42146730591555115,,,,,,
5,1,306280,0.34038278460502625,0.9682904531800967,0.4749267754355767,0.4087832714467487,0.4749267754355767,0.42200985096231086,,,,,,
5,2,29801,0.7440291047096252,0.47233314318311465,0.4383526502565608,0.4027315929237304,0.4383526502565608,0.24445221128953154,,,,,,
5,3,176718,0.35928550362586975,0.9464174560599373,0.4317413008665837,0.43233279415209597,0.4317413008665837,0.36666271862790756,,,,,,
5,4,103193,0.9926592111587524,0.13395288440107372,0.41968969905788395,0.28004115778786054,0.41968969905788395,0.09960523125421197,,,,,,
5,5,28325,0.545239269733429,0.8496734333627538,0.43560314814312723,0.4577755322546756,0.43560314814312723,0.4150787302299288,,,,,,
6,1,306280,0.35120606422424316,0.9494743372077837,0.4795497432767909,0.4171045645051574,0.4795497432767909,0.4158382819604319,,,,,,
6,2,29801,0.7125572562217712,0.5112244555551827,0.4331400392477529,0.4002907284385578,0.4331400392477529,0.26069449747822027,,,,,,
6,3,176718,0.36105355620384216,0.9346869022963139,0.4346634407970773,0.431084897360787,0.4346634407970773,0.3842710925358215,,,,,,
6,4,103193,0.9404588937759399,0.20873508862035214,0.4211976240980933,0.28198428272982795,0.4211976240980933,0.12348992057352969,,,,,,
6,5,28325,0.5035874843597412,0.8569108561341571,0.43607097040829884,0.4525435588810775,0.43607097040829884,0.43245583072158406,,,,,,
7,1,306280,0.3380313813686371,0.9680423142222803,0.4883997680851088,0.422702417293793,0.4883997680851088,0.4406755316329188,,,,,,
7,2,29801,0.7307436466217041,0.4937418207442703,0.43860611672930705,0.4050458706142761,0.43860611672930705,0.2584545760020232,,,,,,
7,3,176718,0.3570071756839752,0.9460156860082165,0.4462083311830737,0.44138728440264086,0.4462083311830737,0.38102811849787066,,,,,,
7,4,103193,0.970173180103302,0.16946885932185324,0.43335461590162927,0.283875064977884,0.43335461590162927,0.11635997481020066,,,,,,
7,5,28325,0.5138295888900757,0.8467078552515446,0.4473959358117128,0.46183502331155935,0.4473959358117128,0.42564636371430964,,,,,,
8,1,306280,0.3483552038669586,0.9642679900744416,0.48067672417967716,0.4230078305963899,0.48067672417967716,0.4273090164052854,,,,,,
8,2,29801,0.6979042291641235,0.49508405758196034,0.4305318258298241,0.39952246595539287,0.4305318258298241,0.2524107063515433,,,,,,
8,3,176718,0.3590773344039917,0.9462137416675155,0.4389935505263605,0.4403961913326164,0.4389935505263605,0.38893621034656345,,,,,,
8,4,103193,0.9116202592849731,0.17538011299216033,0.425202244657004,0.2844944034809799,0.425202244657004,0.12021656201078565,,,,,,
8,5,28325,0.4985642433166504,0.8615710503089143,0.4394398002361022,0.46268372976274363,0.4394398002361022,0.43135575962096184,,,,,,
9,1,306280,0.34576091170310974,0.9594325453833094,0.47880759501603115,0.4242196726215274,0.47880759501603115,0.42492729682758984,,,,,,
9,2,29801,0.7066091299057007,0.5078353075400155,0.43068565831311817,0.3993147975177602,0.43068565831311817,0.2580309268338802,,,,,,
9,3,176718,0.3527910113334656,0.9431353908486968,0.4391054211470686,0.4410810755993483,0.4391054211470686,0.3918964791898545,,,,,,
9,4,103193,0.9374860525131226,0.19776535230102818,0.42410977211919076,0.28499772949369306,0.42410977211919076,0.12609985379182892,,,,,,
9,5,28325,0.48643457889556885,0.8621359223300971,0.44062686403988705,0.4631860621418421,0.44062686403988705,0.43638655461303927,,,,,,
10,1,306280,0.368208646774292,0.9514496539114535,0.4958459171690583,0.4276924022663235,0.4958459171690583,0.4388647970144857,0.1354648470878601,0.9802892777850333,0.48419680330026804,0.42848774711021514,0.48419680330026804,0.4509644721013229
10,2,29801,0.6768608093261719,0.5301835508875541,0.433408807194381,0.4027096215139496,0.433408807194381,0.2736806511968884,0.6056409478187561,0.7643367672225764,0.4831835198285548,0.43203534154343026,0.4831835198285548,0.36247958065288627
10,3,176718,0.3772338330745697,0.9347434896275422,0.4520143456576196,0.43687253566225065,0.4520143456576196,0.39219213623362853,0.34084996581077576,0.9531343722767347,0.41129002311085106,0.4404499720938836,0.41129002311085106,0.4034762834787937
10,4,103193,0.8672751188278198,0.23605283304100083,0.43839625785235137,0.2854448858751434,0.43839625785235137,0.13715476391922848,0.5005667805671692,0.8309769073483666,0.44470953217957665,0.34101192691532334,0.44470953217957665,0.31658719141588443
10,5,28325,0.5065231323242188,0.8505560458958518,0.45338796231662404,0.4561786713907237,0.45338796231662404,0.44139647084386624,0.520256757736206,0.8454015887025595,0.4605410866869094,0.4543227189280308,0.4605410866869094,0.44839334698772704
