,pred_BENIGN,pred_BRUTEFORCE,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,2344,0,0,0,0,237,28,1
true_BRUTEFORCE,82,0,0,0,0,26,2,0
true_DDOS,253,0,140445,2474,675,98,3,3
true_DOS,24,0,3855,506,447,3,1,0
true_MIRAI,32,0,226,1,23104,0,29,0
true_RECON,75,0,0,0,0,54,0,0
true_SPOOFING,1226,0,1,0,0,242,216,0
true_WEB,3,0,0,0,0,1,1,0
