,pred_BENIGN,pred_BRUTEFORCE,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,2361,0,0,0,0,1,247,1
true_BRUTEFORCE,87,0,0,0,0,2,21,0
true_DDOS,240,0,142264,681,661,23,79,3
true_DOS,24,0,4159,202,447,1,3,0
true_MIRAI,30,0,218,4,23110,0,30,0
true_RECON,98,0,0,0,0,10,21,0
true_SPOOFING,1190,0,0,1,0,5,489,0
true_WEB,3,0,0,0,0,0,2,0
