,pred_BENIGN,pred_BRUTEFORCE,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,2072,0,1,0,0,513,24,0
true_BRUTEFORCE,63,0,0,0,0,47,0,0
true_DDOS,530,0,140245,2395,673,105,3,0
true_DOS,63,0,3817,508,444,3,1,0
true_MIRAI,54,0,321,0,22993,0,24,0
true_RECON,64,0,0,0,0,65,0,0
true_SPOOFING,1165,0,1,0,0,321,198,0
true_WEB,2,0,0,0,0,2,1,0
