round,client_id,num_examples,loss,accuracy,balanced_accuracy,precision,recall,f1,personalized_loss,personalized_accuracy,personalized_balanced_accuracy,personalized_precision,personalized_recall,personalized_f1
1,1,306280,0.36072850227355957,0.9318303513125245,0.44298389752538153,0.380183472943763,0.44298389752538153,0.3578693511454744,,,,,,
1,2,29801,0.8367141485214233,0.4489782222073085,0.3857414571442165,0.3891522058013105,0.3857414571442165,0.21090910547051256,,,,,,
1,3,176718,0.36266008019447327,0.9174673774035469,0.3894566949005839,0.39343354578554013,0.3894566949005839,0.31406277057517595,,,,,,
1,4,103193,1.185280680656433,0.1170137509327183,0.3852213303376165,0.2743613763178695,0.3852213303376165,0.07648910708597709,,,,,,
1,5,28325,0.6102296113967896,0.8414121800529567,0.39545528837501753,0.4428316307172344,0.39545528837501753,0.3854147077661081,,,,,,
2,1,306280,0.358758807182312,0.9345337599582082,0.4545640840525148,0.3836820123210565,0.4545640840525148,0.36785247518057634,,,,,,
2,2,29801,0.792579174041748,0.45763564981040905,0.39782348223906006,0.3925686935516367,0.39782348223906006,0.21980186471650834,,,,,,
2,3,176718,0.3660537302494049,0.920172251836259,0.39980283780440173,0.4024654097860434,0.39980283780440173,0.32308264914572354,,,,,,
2,4,103193,1.0965485572814941,0.12760555464033413,0.39711459001910204,0.27608348279784073,0.39711459001910204,0.0835528420196402,,,,,,
2,5,28325,0.5726310014724731,0.8425066195939982,0.40366500198638566,0.44778850738451287,0.40366500198638566,0.3939728976332185,,,,,,
3,1,306280,0.38886672258377075,0.9570131905445998,0.46853731222951805,0.40180584037285516,0.46853731222951805,0.4063541746605355,,,,,,
3,2,29801,0.7284260392189026,0.4870641924767625,0.41126350701515213,0.40050847327485933,0.41126350701515213,0.24768144223845898,,,,,,
3,3,176718,0.3920115530490875,0.9389649045371722,0.42305314660071847,0.4196520707829998,0.42305314660071847,0.36370739671988334,,,,,,
3,4,103193,0.9726027846336365,0.16481738102390667,0.424814879080822,0.27912735095896446,0.424814879080822,0.10608900157344493,,,,,,
3,5,28325,0.5963220596313477,0.8467431597528685,0.426040313999973,0.44812321746863476,0.426040313999973,0.4156692332921508,,,,,,
4,1,306280,0.3555392920970917,0.954133472639415,0.4626378908105214,0.40921462778418805,0.4626378908105214,0.39003417374478705,,,,,,
4,2,29801,0.7474693059921265,0.4904533404919298,0.4090534687873548,0.39800805783860926,0.4090534687873548,0.24383790093889718,,,,,,
4,3,176718,0.3573235273361206,0.9403852465510022,0.41889076808476056,0.424435035502069,0.41889076808476056,0.37188251671712025,,,,,,
4,4,103193,1.0231066942214966,0.17344199703468258,0.4158837749027222,0.2800947840921061,0.4158837749027222,0.10906395198957655,,,,,,
4,5,28325,0.5301412343978882,0.8657369814651368,0.4223425245324623,0.4634236582645241,0.4223425245324623,0.42322986485835523,,,,,,
5,1,306280,0.36091575026512146,0.9589362674676767,0.47803257872241695,0.4131480720247838,0.47803257872241695,0.42786187709953755,,,,,,
5,2,29801,0.7122013568878174,0.5056541726787692,0.4305317536672159,0.40328987937279487,0.4305317536672159,0.260377517550696,,,,,,
5,3,176718,0.37396714091300964,0.9398080557724736,0.4346870782838793,0.43333854138893807,0.4346870782838793,0.3765132220869028,,,,,,
5,4,103193,0.9341650605201721,0.1954299225722675,0.4290205334575654,0.28237247690009615,0.4290205334575654,0.11832893183935983,,,,,,
5,5,28325,0.539151132106781,0.8431421006178288,0.44333582504934876,0.4555205382303436,0.44333582504934876,0.42657406831110933,,,,,,
6,1,306280,0.3474396765232086,0.9694038135039833,0.4837130490233669,0.41643204187625377,0.4837130490233669,0.43536373866920025,,,,,,
6,2,29801,0.7115617990493774,0.4844803865642093,0.43092316991580043,0.4022644605533968,0.43092316991580043,0.2526143532126394,,,,,,
6,3,176718,0.36200815439224243,0.9466438053848505,0.43661734873652963,0.43486500327568106,0.43661734873652963,0.3748597177184069,,,,,,
6,4,103193,0.9401170611381531,0.15187076642795538,0.4317631042221586,0.2825084321640533,0.4317631042221586,0.1111789865587616,,,,,,
6,5,28325,0.5439776182174683,0.8422241835834069,0.4436472808144679,0.45437630530457696,0.4436472808144679,0.41782622308249584,,,,,,
7,1,306280,0.3431123197078705,0.9653193156588742,0.489816229045056,0.4225710742012808,0.489816229045056,0.4407656070839659,,,,,,
7,2,29801,0.7139600515365601,0.4978020871782826,0.4382047097611403,0.4028996737422308,0.4382047097611403,0.260925532644441,,,,,,
7,3,176718,0.3613898754119873,0.9434635973698209,0.4458653740257498,0.4364036449037719,0.4458653740257498,0.3821675222307872,,,,,,
7,4,103193,0.9349555373191833,0.17724070431133895,0.429623111803203,0.28407466938452264,0.429623111803203,0.12052978596275518,,,,,,
7,5,28325,0.5365749001502991,0.8417652250661959,0.44925415639251504,0.45746035620188497,0.44925415639251504,0.42603444912472177,,,,,,
8,1,306280,0.36969396471977234,0.9472378216011492,0.4920024099107322,0.4196561484535586,0.4920024099107322,0.43002091527902364,,,,,,
8,2,29801,0.6991783380508423,0.5310895607529948,0.43161477571263945,0.40207477953882476,0.43161477571263945,0.2724128999678329,,,,,,
8,3,176718,0.38199853897094727,0.931484059348793,0.44433702239028966,0.4336924878882596,0.44433702239028966,0.3861483681778669,,,,,,
8,4,103193,0.8957668542861938,0.2383979533495489,0.43230384827816604,0.2833111889100831,0.43230384827816604,0.13354279769882232,,,,,,
8,5,28325,0.512018084526062,0.8493556928508385,0.45120049744621704,0.45652532022178166,0.45120049744621704,0.44030430494940076,,,,,,
9,1,306280,0.361002653837204,0.9513647642679901,0.4901650709972843,0.42356945170320337,0.4901650709972843,0.43322095754556667,,,,,,
9,2,29801,0.6851709485054016,0.5239085936713533,0.4257235118225808,0.40042196756141457,0.4257235118225808,0.26933613104401855,,,,,,
9,3,176718,0.3710600733757019,0.9345793863669801,0.44555540308460123,0.4329057047206057,0.44555540308460123,0.3895305061219682,,,,,,
9,4,103193,0.8784244060516357,0.2278642931206574,0.43667044881921185,0.28462972231328787,0.43667044881921185,0.13494454158374064,,,,,,
9,5,28325,0.5130288004875183,0.8515798764342454,0.4510077668719482,0.4550161034000709,0.4510077668719482,0.4404002301201433,,,,,,
10,1,306280,0.35481905937194824,0.9496179966044143,0.4880461546792575,0.42815090554031116,0.4880461546792575,0.43103517295293853,0.13479508459568024,0.980668016194332,0.48418708386976217,0.4297796729800631,0.48418708386976217,0.45173589262678066
10,2,29801,0.700799286365509,0.5295459883896514,0.4162213459271373,0.3997724284450826,0.4162213459271373,0.2676164534184244,0.6225407719612122,0.7015536391396262,0.4748237079417865,0.41243734985695946,0.4748237079417865,0.3445237880828791
10,3,176718,0.3709017038345337,0.9343813307076811,0.44590220360802174,0.4394998689893564,0.44590220360802174,0.3946458081734847,0.3404693305492401,0.9519856494528005,0.4096413943316761,0.43419469502042474,0.4096413943316761,0.4037195242380232
10,4,103193,0.8907148838043213,0.2374579671101722,0.43350380437006253,0.28613263137764167,0.43350380437006253,0.13827477255828508,0.5084624290466309,0.8266161464440418,0.4383205560432709,0.33006186362957113,0.4383205560432709,0.3068332228918831
10,5,28325,0.49264591932296753,0.8584289496910856,0.44956585769814195,0.4600961218512491,0.44956585769814195,0.44473714307807555,0.5109790563583374,0.8433186231244484,0.46267972485244296,0.4537534597832551,0.46267972485244296,0.45286627958683867
