round,client_id,num_test_examples,loss,accuracy,balanced_accuracy,precision,recall,f1
1,1,119710,0.7780137062072754,0.7119288280010024,0.2579607636766504,0.19943513284715528,0.2579607636766504,0.18608642407218248
1,2,119449,1.5006204843521118,0.41858868638498437,0.273285772782848,0.21321702468539397,0.273285772782848,0.1679246290645197
1,3,149271,0.7138853073120117,0.731984109438538,0.2759706840069793,0.2606190910846498,0.2759706840069793,0.2433906046850829
1,4,163941,0.8645554780960083,0.6439572773131798,0.25737150719657925,0.18745395692681782,0.25737150719657925,0.18153214564113368
1,5,91947,1.2599502801895142,0.5118492174839854,0.2601954032010495,0.20176278370101278,0.2601954032010495,0.18624186535986653
2,1,119710,0.6699841618537903,0.7399298304235236,0.2787560377085706,0.23435303611757197,0.2787560377085706,0.19500030126156187
2,2,119449,1.2507766485214233,0.4392334803974918,0.2940633711552161,0.20404274495292618,0.2940633711552161,0.18811070861491938
2,3,149271,0.6573424339294434,0.7480287530732694,0.29910391619636,0.3078670072920856,0.29910391619636,0.2723577989266789
2,4,163941,0.7391135692596436,0.6641840662189447,0.2777018545251992,0.21793606899672452,0.2777018545251992,0.19736662589595477
2,5,91947,1.1791831254959106,0.5170478645306535,0.2747756498938348,0.21548545649785714,0.2747756498938348,0.18533654238450686
3,1,119710,0.6046540141105652,0.7940188789574806,0.29887437712873105,0.24452653994767293,0.29887437712873105,0.22218029868444195
3,2,119449,1.1505885124206543,0.4456211437517267,0.3177604008168141,0.2125036779272059,0.3177604008168141,0.20202077027752896
3,3,149271,0.6356833577156067,0.7479282646997742,0.3139532536918794,0.27243023622872015,0.3139532536918794,0.2713520775952089
3,4,163941,0.6879642605781555,0.6782928004587017,0.2982095954701528,0.22741516668672002,0.2982095954701528,0.22046775575263572
3,5,91947,1.1291109323501587,0.5283587283978813,0.2974082367214616,0.2224030730530468,0.2974082367214616,0.19786542589728803
4,1,119710,0.5722804069519043,0.7956812296382926,0.3041280973023795,0.24520828832125507,0.3041280973023795,0.2260899739143297
4,2,119449,1.089379906654358,0.4490368274326281,0.32084702900787176,0.21087626082507532,0.32084702900787176,0.19870480383430983
4,3,149271,0.6141801476478577,0.7517133267680929,0.3220263216757498,0.2721502163567776,0.3220263216757498,0.2734644832364745
4,4,163941,0.6461669206619263,0.6851367260172867,0.3041313979998758,0.23929949763855748,0.3041313979998758,0.22363941004781085
4,5,91947,1.106913447380066,0.528445735043014,0.30171448571425274,0.21889656444469122,0.30171448571425274,0.2020408002525625
5,1,119710,0.5580577254295349,0.7595271907108846,0.3007502334653678,0.24285320093361873,0.3007502334653678,0.20874571578576032
5,2,119449,1.0511037111282349,0.45195020468986763,0.31826848354493864,0.2092673483219894,0.31826848354493864,0.19668967837012563
5,3,149271,0.5986247062683105,0.7545671965753562,0.321002412642196,0.2733081307094903,0.321002412642196,0.2747978289886277
5,4,163941,0.6236869692802429,0.6773351388609317,0.3022763989458772,0.2170965439240439,0.3022763989458772,0.20775098132193587
5,5,91947,1.06387197971344,0.5378642043786094,0.29835797507172734,0.21864244039377906,0.29835797507172734,0.20618709458321033
6,1,119710,0.5498239398002625,0.7606966836521594,0.30144181845160345,0.23532792948421458,0.30144181845160345,0.20711928719321368
6,2,119449,1.0170131921768188,0.45483009485219633,0.3198061330969431,0.2025643797618394,0.3198061330969431,0.19869322355452965
6,3,149271,0.587916910648346,0.7554112989127157,0.3220107552262903,0.27394058618508066,0.3220107552262903,0.27787640991004386
6,4,163941,0.6143667101860046,0.6799580336828493,0.30314720265821776,0.21519057014559106,0.30314720265821776,0.20783360379397553
6,5,91947,1.0195266008377075,0.5421927849739524,0.2994344201107377,0.21794925174038823,0.2994344201107377,0.20997150762248717
7,1,119710,0.5306030511856079,0.7626347005262718,0.3040525942467146,0.23178133137041423,0.3040525942467146,0.21119689094769065
7,2,119449,1.0010716915130615,0.458379726912741,0.32120251616249024,0.21985568396776764,0.32120251616249024,0.20728535653096058
7,3,149271,0.5833829641342163,0.7561415144267808,0.3236374630760339,0.27912230647951614,0.3236374630760339,0.2822770198907636
7,4,163941,0.5956979393959045,0.6825626292385676,0.3053336163427606,0.214586616164687,0.3053336163427606,0.21034738230640038
7,5,91947,0.9967643618583679,0.547630700294735,0.3017237428844455,0.22106376926696855,0.3017237428844455,0.21390672904240013
8,1,119710,0.52186518907547,0.7628602455935176,0.30626425771028265,0.22694637850681645,0.30626425771028265,0.2125114439427046
8,2,119449,0.9897823929786682,0.4616530904402716,0.32680661239685777,0.2593433414598477,0.32680661239685777,0.21361797870525517
8,3,149271,0.5815702080726624,0.7551902244910264,0.3269936999866189,0.28236752181246766,0.3269936999866189,0.2855030868578599
8,4,163941,0.5957657694816589,0.6806778048200267,0.31014262802675213,0.23292905394719135,0.31014262802675213,0.21512335481464706
8,5,91947,0.9605574607849121,0.5575385820092009,0.30506114948603424,0.2217670668066806,0.30506114948603424,0.21833283381006074
9,1,119710,0.5117746591567993,0.7715980285690418,0.3114281794308129,0.24898246766097087,0.3114281794308129,0.22176059627702857
9,2,119449,0.9658770561218262,0.46325209922226224,0.3322776587181873,0.24578550892679674,0.3322776587181873,0.21782755023273445
9,3,149271,0.5698972940444946,0.757890012125597,0.3296361601574206,0.28799189516525375,0.3296361601574206,0.2896950463166509
9,4,163941,0.5760064125061035,0.6874485333138142,0.3156924720796886,0.25493126992484094,0.3156924720796886,0.22414270316544374
9,5,91947,0.9315882921218872,0.5555918083243607,0.3102234231275397,0.22417962595140833,0.3102234231275397,0.2217460403093223
10,1,119710,0.5054582953453064,0.7784228552334809,0.3255434397897614,0.28283787138358996,0.3255434397897614,0.23282874004251633
10,2,119449,0.9354069828987122,0.47304707448367084,0.3517857188051271,0.2806882536736207,0.3517857188051271,0.23149662845345254
10,3,149271,0.564413845539093,0.7621775160613917,0.3431010493937392,0.302689139185578,0.3431010493937392,0.29852149962840413
10,4,163941,0.5685272216796875,0.6894980511281498,0.32806585056733323,0.2877534764244795,0.32806585056733323,0.23427949937401127
