Round,client_1,client_2,client_3,client_4,client_5
1,0.5381333231925964,0.5387833118438721,0.4894333481788635,0.6585666537284851,0.6818333268165588
2,0.5098833441734314,0.5777999758720398,0.5521166920661926,0.6593166589736938,0.6985999941825867
3,0.7464333176612854,0.7982666492462158,0.5737833380699158,0.7947333455085754,0.5406666398048401
4,0.547249972820282,0.6701666712760925,0.7120333313941956,0.5651999711990356,0.590149998664856
5,0.6157333254814148,0.5801833271980286,0.3786500096321106,0.5137500166893005,0.7573333382606506
6,0.8041333556175232,0.8035833239555359,0.5811499953269958,0.7834333181381226,0.5574666857719421
7,0.7496833205223083,0.7864999771118164,0.5846499800682068,0.5682500004768372,0.7995166778564453
8,0.5871999859809875,0.8130499720573425,0.5661333203315735,0.7942500114440918,0.810366690158844
9,0.7678833603858948,0.7985666394233704,0.5814999938011169,0.5885000228881836,0.8074666857719421
10,0.802566647529602,0.8062000274658203,0.5178333520889282,0.581083357334137,0.8129833340644836
11,0.8103833198547363,0.8127999901771545,0.5393999814987183,0.8111833333969116,0.5914166569709778
12,0.5862500071525574,0.8156166672706604,0.8026666641235352,0.8005499839782715,0.5396999716758728
13,0.8133500218391418,0.5586833357810974,0.8125500082969666,0.8024500012397766,0.5897666811943054
14,0.552566647529602,0.814466655254364,0.8052666783332825,0.8012666702270508,0.5843166708946228
15,0.5961166620254517,0.8172666430473328,0.5618500113487244,0.8119166493415833,0.815666675567627
16,0.8162333369255066,0.8067166805267334,0.5975499749183655,0.8181166648864746,0.5610666871070862
17,0.5948500037193298,0.8010500073432922,0.7950000166893005,0.5630000233650208,0.8182166814804077
18,0.814466655254364,0.8109333515167236,0.5986999869346619,0.806683361530304,0.5639166831970215
19,0.8110833168029785,0.7969833612442017,0.5895333290100098,0.5944833159446716,0.8132166862487793
20,0.8126833438873291,0.8063833117485046,0.5849666595458984,0.8069166541099548,0.5571666955947876
21,0.6005666851997375,0.8039833307266235,0.8206166625022888,0.8193166851997375,0.5501000285148621
22,0.8154333233833313,0.8159666657447815,0.5976666808128357,0.8017500042915344,0.5647333264350891
23,0.574733316898346,0.7967000007629395,0.8129333257675171,0.5950333476066589,0.8115000128746033
24,0.805483341217041,0.5975499749183655,0.5547666549682617,0.8209333419799805,0.8206999897956848
25,0.5918333530426025,0.7867833375930786,0.5501333475112915,0.8101833462715149,0.8079666495323181
26,0.809066653251648,0.7916833162307739,0.548966646194458,0.8062999844551086,0.5954499840736389
27,0.8220666646957397,0.8232666850090027,0.7975500226020813,0.5551499724388123,0.5953166484832764
28,0.7996833324432373,0.5480499863624573,0.821316659450531,0.5932833552360535,0.8211166858673096
29,0.8221499919891357,0.5472333431243896,0.5964999794960022,0.8223666548728943,0.8039833307266235
30,0.8125166893005371,0.5947333574295044,0.8101833462715149,0.5454666614532471,0.791616678237915
