round,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1
0,0.2988597719543909,0.17893954067515216,0.09640895901285342,0.17893954067515216,0.06965442823929274,4269.01513671875,0.2894980594054905,0.1662464378698547,0.1510944763956826,0.1662464378698547,0.07312249432053705
1,0.796759351870374,0.3103209100955794,0.4212720584859449,0.3103209100955794,0.3182835464537549,0.8651294112205505,0.7963569102780477,0.3108049833203905,0.41629649760611215,0.3108049833203905,0.31776555444006294
2,0.8015603120624125,0.3299637930277074,0.4834894005273543,0.3299637930277074,0.34451875113919495,0.5861170291900635,0.8016246441296305,0.33223699713574995,0.49025695252040047,0.33223699713574995,0.3444800345191795
3,0.8057611522304461,0.3584324337159178,0.5793657426120911,0.3584324337159178,0.3711518520669967,0.5494670271873474,0.8044829722065951,0.3522079256215199,0.521931775894777,0.3522079256215199,0.364410820459396
4,0.8063612722544509,0.3619392436525839,0.6010138924537471,0.3619392436525839,0.3749667467722375,0.4943077266216278,0.8058041675900828,0.36158489946884376,0.5640057219742364,0.36158489946884376,0.3782740109108129
5,0.7717543508701741,0.2711078810634277,0.4215096757073912,0.2711078810634277,0.3027341162544751,0.5983187556266785,0.7734164123720714,0.27592210249994914,0.4866673481354479,0.27592210249994914,0.3074182739115513
6,0.8055611122224445,0.3528316004744821,0.6238661666627641,0.3528316004744821,0.36521412240789863,0.5160809755325317,0.8041761139239787,0.34442806355394606,0.5553380301062282,0.34442806355394606,0.3538659985249789
7,0.8079615923184637,0.3748191324693697,0.6001126656907159,0.3748191324693697,0.3906387541778137,0.47978663444519043,0.8072702682736949,0.37232220655283066,0.5997068139901431,0.37232220655283066,0.3879502929619254
8,0.7769553910782157,0.2876670849956576,0.51317433078434,0.2876670849956576,0.31665966852597327,0.5339474678039551,0.7789512265807463,0.29421353032938496,0.532707581470793,0.29421353032938496,0.32605779563630066
9,0.8067613522704541,0.3639653440140475,0.6013246229189144,0.3639653440140475,0.3822811998397933,0.49094682931900024,0.8050228154815686,0.3547550384364112,0.5716416175872039,0.3547550384364112,0.3731832941034464
10,0.8113622724544909,0.39162077461462197,0.6213264786471537,0.39162077461462197,0.39321847162078083,0.4435129165649414,0.8114725219773039,0.39018751162283616,0.577906178168565,0.39018751162283616,0.39312633782678885
11,0.8143628725745149,0.40412295853930646,0.607730364725072,0.40412295853930646,0.3878885348728218,0.4358239471912384,0.8150553765548907,0.4069435048882287,0.5840104282523826,0.4069435048882287,0.39258750934383846
12,0.8163632726545309,0.41904496276673464,0.5816750088852032,0.41904496276673464,0.4073084608464953,0.4277578294277191,0.8171721304488655,0.4311677752749612,0.5822538747040116,0.4311677752749612,0.42454980262459846
13,0.8013602720544108,0.37115620120604914,0.576233558698344,0.37115620120604914,0.3894388022659336,0.49965548515319824,0.8020394710672417,0.3734176383477152,0.5784057804712197,0.3734176383477152,0.3899308361275814
14,0.8025605121024205,0.3696129681326938,0.5689252895278385,0.3696129681326938,0.3973128903222228,0.4921644628047943,0.8018462640004091,0.3637546104517164,0.565881114248966,0.3637546104517164,0.3867635734408351
15,0.8197639527905581,0.44616363717010216,0.5832685451459307,0.44616363717010216,0.4414812120606477,0.4083831310272217,0.81932582098797,0.4460858136635925,0.57365504295574,0.4460858136635925,0.4426966121785636
16,0.8137627525505101,0.4059998820343806,0.5939007541771792,0.4059998820343806,0.4088449467946723,0.45677852630615234,0.8136233712360138,0.4036314847611291,0.5929481888931518,0.4036314847611291,0.40414658230848627
17,0.784756951390278,0.3651546509798691,0.4923225618546097,0.3651546509798691,0.37526353720043615,0.5374042987823486,0.7879154662257,0.3750856605731723,0.5155226988383034,0.3750856605731723,0.38747389694259315
18,0.8175635127025405,0.42472311255459666,0.5956683795860166,0.42472311255459666,0.41113991352234214,0.42639175057411194,0.817189178131233,0.42480706700523096,0.6039715495157837,0.42480706700523096,0.41269417420067844
19,0.8181636327265454,0.4326102056225671,0.5582121762984824,0.4326102056225671,0.42318914659555706,0.43214404582977295,0.8176778783591038,0.43120811299790796,0.5688092209175702,0.43120811299790796,0.42583845049465063
20,0.8165633126625325,0.4217815999099618,0.6041941855566774,0.4217815999099618,0.4157723480988499,0.4358009994029999,0.8159248083556374,0.4176653011685394,0.6064201636472862,0.4176653011685394,0.4131780848989305
