round,client_id,feature,shap_value,shap_source_round,shap_calculated_this_round
1,4,ece_flag_number,0.0,1,1
1,4,cwr_flag_number,0.0,1,1
1,4,ack_count,0.0055886801980386735,1,1
1,4,syn_count,0.007795081566276281,1,1
1,4,fin_count,0.0055058680008141896,1,1
1,4,rst_count,0.007893562833631051,1,1
1,4,HTTP,0.0012169918828115556,1,1
1,4,HTTPS,0.0015214625357887002,1,1
1,4,DNS,5.508705793321411e-05,1,1
1,4,Telnet,0.0,1,1
1,4,SMTP,0.0,1,1
1,4,SSH,0.0,1,1
1,4,IRC,0.0,1,1
1,4,TCP,0.010245044019581399,1,1
1,4,UDP,0.009580022736609876,1,1
1,4,DHCP,0.0,1,1
1,4,ARP,6.070703793936261e-05,1,1
1,4,ICMP,0.0021367303604579923,1,1
1,4,IGMP,0.0,1,1
1,4,IPv,7.85643000633977e-05,1,1
1,4,LLC,5.4410545401902266e-05,1,1
1,4,Tot sum,0.014621958025540711,1,1
1,4,Min,0.0019256843755533738,1,1
1,4,Max,0.0067665300696106104,1,1
1,4,AVG,0.009712781015150647,1,1
1,4,Std,0.005679099258941278,1,1
1,4,Tot size,0.013210525614414053,1,1
1,4,IAT,0.01927690733394684,1,1
1,4,Number,0.009726505848055922,1,1
1,4,Variance,0.004907547043634964,1,1
1,5,Header_Length,0.011032668280331564,1,1
1,5,Protocol Type,0.0035141175031947114,1,1
1,5,Time_To_Live,0.007535997147124718,1,1
1,5,Rate,0.008315667390373278,1,1
1,5,fin_flag_number,0.0008250450236119633,1,1
1,5,syn_flag_number,0.009136106656027607,1,1
1,5,rst_flag_number,0.0013966170312937453,1,1
1,5,psh_flag_number,0.0008967845069291691,1,1
1,5,ack_flag_number,0.013999181295929475,1,1
1,5,ece_flag_number,0.0,1,1
1,5,cwr_flag_number,0.0,1,1
1,5,ack_count,0.0092778540312338,1,1
1,5,syn_count,0.009111155784804623,1,1
1,5,fin_count,0.0038737460306461457,1,1
1,5,rst_count,0.002820118626150929,1,1
1,5,HTTP,0.00029450186639678577,1,1
1,5,HTTPS,0.0012282635931168072,1,1
1,5,DNS,5.4325430677844013e-05,1,1
1,5,Telnet,0.0,1,1
1,5,SMTP,0.0,1,1
1,5,SSH,0.0,1,1
1,5,IRC,0.0,1,1
1,5,TCP,0.014301587188772374,1,1
1,5,UDP,0.0064348458080900174,1,1
1,5,DHCP,0.0,1,1
1,5,ARP,8.896047970959665e-05,1,1
1,5,ICMP,0.003143818596560095,1,1
1,5,IGMP,0.0,1,1
1,5,IPv,6.861451560528308e-05,1,1
1,5,LLC,4.6161424524342465e-05,1,1
1,5,Tot sum,0.019319582866584143,1,1
1,5,Min,0.0005931447861209449,1,1
1,5,Max,0.010542787341091753,1,1
1,5,AVG,0.011851038401107416,1,1
1,5,Std,0.008845175540341756,1,1
1,5,Tot size,0.005678910035326794,1,1
1,5,IAT,0.010328826239181126,1,1
1,5,Number,0.00784037950458611,1,1
1,5,Variance,0.002093228853582332,1,1
2,1,Header_Length,0.004441754647929344,1,0
2,1,Protocol Type,0.0015633736572581367,1,0
2,1,Time_To_Live,0.004056932360951571,1,0
2,1,Rate,0.003934942470798717,1,0
2,1,fin_flag_number,0.0002803604203048815,1,0
2,1,syn_flag_number,0.004050702771513168,1,0
