round,client_id,class,feature,class_shap_value
1,3,BENIGN,Tot size,0.015019517941982485
1,3,BENIGN,IAT,0.014099295958322955
1,3,BENIGN,Number,0.016060438608110416
1,3,BENIGN,Variance,0.5098953329492361
1,4,BENIGN,Header_Length,7.343372252677227e-05
1,4,BENIGN,Protocol Type,2.6279384027461107e-05
1,4,BENIGN,Time_To_Live,0.018234831540894447
1,4,BENIGN,Rate,8.120766266586087e-05
1,4,BENIGN,fin_flag_number,1.0032353771165237e-08
1,4,BENIGN,syn_flag_number,0.0011261519529853104
1,4,BENIGN,rst_flag_number,0.0
1,4,BENIGN,psh_flag_number,4.684039253533001e-06
1,4,BENIGN,ack_flag_number,0.007124439238214109
1,4,BENIGN,ece_flag_number,0.0
1,4,BENIGN,cwr_flag_number,0.0
1,4,BENIGN,ack_count,0.00023481215071115004
1,4,BENIGN,syn_count,0.002731235426108469
1,4,BENIGN,fin_count,2.127795446149605e-06
1,4,BENIGN,rst_count,0.0
1,4,BENIGN,HTTP,1.2409493739540256e-07
1,4,BENIGN,HTTPS,2.850137106338302e-05
1,4,BENIGN,DNS,2.6075172243622546e-09
1,4,BENIGN,Telnet,0.0
1,4,BENIGN,SMTP,0.0
1,4,BENIGN,SSH,0.0
1,4,BENIGN,IRC,0.0
1,4,BENIGN,TCP,1.5180241589973775e-05
1,4,BENIGN,UDP,0.001691004884924041
1,4,BENIGN,DHCP,0.0
1,4,BENIGN,ARP,1.081977734429529e-06
1,4,BENIGN,ICMP,6.775817722570743e-07
1,4,BENIGN,IGMP,0.0
1,4,BENIGN,IPv,1.8673281374503858e-06
1,4,BENIGN,LLC,1.9049755792366341e-06
1,4,BENIGN,Tot sum,0.1371324201580137
1,4,BENIGN,Min,0.0011010156371021652
1,4,BENIGN,Max,0.000650151893205475
1,4,BENIGN,AVG,0.006448371615260839
1,4,BENIGN,Std,0.002704975148662925
1,4,BENIGN,Tot size,0.020019479337497613
1,4,BENIGN,IAT,0.005556274760363067
