,pred_BENIGN,pred_BRUTEFORCE,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,403,0,0,0,0,42,2,0
true_BRUTEFORCE,16,0,0,0,0,15,0,0
true_DDOS,38,0,9070,302,42,2,0,0
true_DOS,1054,0,67331,12532,8035,57,7,0
true_MIRAI,0,0,12,0,623,0,1,0
true_RECON,41,0,0,0,0,17,2,0
true_SPOOFING,2514,0,0,0,0,545,404,0
true_WEB,57,0,0,0,0,28,1,0
