round,client_id,num_examples,size_weight,shap_consensus_alignment,shap_weight,final_weight,local_accuracy,local_precision,local_recall,local_f1
1,1,1225117,0.33828624021722503,0.9973390213535703,0.20173927054619087,0.27001275538170794,0.9380860650385269,0.38079845364960796,0.45017472522374813,0.3794824856649736
1,2,119203,0.10552105942330561,0.9790474812542459,0.19803930305489995,0.15178018123910278,0.7897385993758599,0.4238912435446085,0.4241559093780948,0.3958980662603815
1,3,706868,0.2569595191291867,0.9907515809272387,0.2004067793893012,0.22868314925924393,0.9154472096786971,0.418283533952689,0.39916303445372536,0.34496690197860036
1,4,412772,0.19635893363995005,0.9907009626290282,0.20039654044513214,0.19837773704254108,0.874768637407576,0.3562128504621378,0.3936926783719036,0.31727943689969246
1,5,113298,0.10287424759033272,0.985863876193894,0.19941810656447592,0.15114617707740433,0.7537864077669902,0.4927758723707593,0.4243856048359523,0.4120391614312998
2,1,1225117,0.33828624021722503,0.9925281991934173,0.20150566288040012,0.2698959515488125,0.940188716207392,0.38587964936332086,0.45692446667116016,0.3836302931025236
2,2,119203,0.10552105942330561,0.9824310752315968,0.1994557184468156,0.1524883889350606,0.7960135565920606,0.45051281265478965,0.43484119034271135,0.40453302799128665
2,3,706868,0.2569595191291867,0.992678556377095,0.20153618878786594,0.22924785395852626,0.9081531026833712,0.41835045773011004,0.3973915678400466,0.3335705797460592
2,4,412772,0.19635893363995005,0.9643167658952251,0.19577810413478647,0.1960685188873682,0.8264320254280814,0.374377938305178,0.41188757136575316,0.29157417331714425
2,5,113298,0.10287424759033272,0.9936052362415235,0.20172432575013194,0.1522992866702323,0.8334686672550751,0.4917640757872891,0.4236048766272644,0.42806031575220865
3,1,1225117,0.33828624021722503,0.996216592835829,0.20146587681974693,0.26987605851848595,0.9598569936006269,0.38902577957434165,0.4678256078381783,0.40295157448775054
3,2,119203,0.10552105942330561,0.9874450724846157,0.1996920034961065,0.15260653145970604,0.8009462769705714,0.4207569912599419,0.44231079039607174,0.40716511811112066
3,3,706868,0.2569595191291867,0.9792967857877077,0.19804416733700553,0.2275018432330961,0.9332156316843785,0.389357257435756,0.39987704410466257,0.36242979128615893
3,4,412772,0.19635893363995005,0.9920455104317706,0.20062235465813652,0.19849064414904327,0.8779665287374143,0.3711953160987578,0.4161940103056581,0.31089916207972895
3,5,113298,0.10287424759033272,0.9898363685530568,0.20017559768900456,0.15152492263966863,0.8407413945278023,0.47120004005070115,0.43114269221419044,0.4383651788157342
4,1,1225117,0.33828624021722503,0.9897160549694994,0.2004500561768847,0.26936814819705485,0.9703767794175264,0.4270437601239107,0.4352529951484402,0.3778817971473611
4,2,119203,0.10552105942330561,0.9935375424088527,0.20122403308475775,0.15337254625403168,0.802355625650146,0.4567332912269725,0.46894480743645706,0.4444324049851281
4,3,706868,0.2569595191291867,0.9896641378156216,0.20043954124549693,0.2286995301873418,0.9413019613169004,0.3921335645712016,0.40152573711332373,0.3736367854237267
4,4,412772,0.19635893363995005,0.9968069268712277,0.20188619097929358,0.19912256230962183,0.9027356506739799,0.4028396294017268,0.41207343450711864,0.3613392067829567
4,5,113298,0.10287424759033272,0.9677449193657799,0.19600017851356716,0.14943721305194993,0.8288437775816416,0.46863871136559804,0.45264552968304,0.4480751575485754
5,1,1225117,0.33828624021722503,0.9945897739897934,0.20012618846536287,0.26920621434129394,0.9721300770536764,0.4029826128667819,0.4378645727143037,0.38602793996617385
5,2,119203,0.10552105942330561,0.9913815142596778,0.1994806391060332,0.1525008492646694,0.8009127210496292,0.4598376757880749,0.4872636657815992,0.4540683906327984
5,3,706868,0.2569595191291867,0.9991687806042133,0.2010475523931514,0.22900353576116905,0.9482339093923652,0.4022390787543907,0.3959751112821899,0.36596442796436224
5,4,412772,0.19635893363995005,0.9882333001213282,0.19884717180880443,0.19760305272437723,0.8467144089230859,0.3984408730072375,0.4313870946503735,0.3171919450440924
5,5,113298,0.10287424759033272,0.9964398354669112,0.20049844822664808,0.1516863479084904,0.8071668137687555,0.5006779431679601,0.45383243215032426,0.43731690833583636
6,1,1225117,0.33828624021722503,0.9960420151179309,0.20098926521797644,0.2696377527176007,0.9769981716076792,0.4203538604824105,0.4814990650760394,0.4404508734004574
6,2,119203,0.10552105942330561,0.9959586296599706,0.2009724390382863,0.15324674923079595,0.8056441059024865,0.4644382290522742,0.4788978162494214,0.45828086260525647
6,3,706868,0.2569595191291867,0.994286674058536,0.2006350585636588,0.22879728884642275,0.9514650460055003,0.4275354432675986,0.4025546170600709,0.3835452735343159
6,4,412772,0.19635893363995005,0.9937500408725769,0.20052677245915673,0.1984428530495534,0.8571414727743161,0.4092921644118981,0.4292966987491593,0.3413570950116166
6,5,113298,0.10287424759033272,0.9756602196502894,0.19687646472092177,0.14987535615562725,0.8409179170344219,0.4695001215443106,0.4549952742372714,0.44730895112328006
7,1,1225117,0.33828624021722503,0.9909571886063449,0.19945259759566714,0.26886941890644606,0.9790551129685255,0.4232152372397252,0.48401089738882325,0.4478903803481404
7,2,119203,0.10552105942330561,0.9989028428305321,0.20105184062335021,0.15328645002332789,0.8137310828495689,0.48205303928072396,0.5035159161739108,0.47193881963919393
7,3,706868,0.2569595191291867,0.9969650492993117,0.2006618157485627,0.22881066743887463,0.9521497527133626,0.41560558568853945,0.40010045555017376,0.3793751473460472
7,4,412772,0.19635893363995005,0.9925096174406614,0.19976505908961148,0.19806199636478072,0.8519957749072127,0.3866594170114781,0.4382238694315016,0.3458858298752727
7,5,113298,0.10287424759033272,0.989049772880409,0.19906868694280858,0.15097146726657062,0.8129567519858782,0.460236011656782,0.49045934369149424,0.45732171447521386
8,1,1225117,0.33828624021722503,0.9932904793380098,0.20016090100012604,0.2692235706086755,0.9786535196552174,0.42358442043465827,0.4837187108212214,0.445018249501309
8,2,119203,0.10552105942330561,0.9954208307244922,0.20059019440606843,0.15305562691468702,0.8219187275594779,0.5039176034921162,0.4476880495677295,0.45132330787625863
8,3,706868,0.2569595191291867,0.9990099894140034,0.20131345638438097,0.22913648775678383,0.9535021899297186,0.41985092392534773,0.39828561499989723,0.37794039687483805
8,4,412772,0.19635893363995005,0.9864937184687674,0.19879126562379923,0.19757509963187464,0.9242778095413449,0.4527189733650331,0.37839758056558603,0.374598882082914
8,5,113298,0.10287424759033272,0.9882450548008241,0.1991441825856253,0.15100921508797902,0.8417652250661959,0.4572047012190815,0.46736777455342027,0.4600027182705292
9,1,1225117,0.33828624021722503,0.9734157980285508,0.19728131034027369,0.26778377527874936,0.9795252709938618,0.4236798584992432,0.4826883310947296,0.4477024980771837
9,2,119203,0.10552105942330561,0.9978797001099856,0.20223938752418233,0.15388022347374397,0.8185966913861951,0.5105215630651188,0.4662968244174771,0.45836368081815587
9,3,706868,0.2569595191291867,0.9941014012241214,0.2014736430637266,0.22921658109645665,0.9480188775336977,0.4542440490838714,0.4233138193014496,0.41963039284331694
9,4,412772,0.19635893363995005,0.9967872581960355,0.2020179832972413,0.19918845846859567,0.8568604459604818,0.3831041515184292,0.43398380786160534,0.343380147640218
9,5,113298,0.10287424759033272,0.9719669607078526,0.19698767577457613,0.14993096168245443,0.8190291262135923,0.4408632454374032,0.4714320101139127,0.44279695836061445
10,1,1225117,0.33828624021722503,0.9898545166966884,0.20020810707750666,0.26924717364736583,0.9809324800835837,0.4297887505470593,0.48564476280792707,0.4528809761747172
10,2,119203,0.10552105942330561,0.9946794432868957,0.20118399737564563,0.1533525283994756,0.8261132176772592,0.5058976271159925,0.48857654733052647,0.4751278401006016
10,3,706868,0.2569595191291867,0.9675987056903267,0.19570664376355607,0.22633308144637138,0.946955035706606,0.40061466340583823,0.407243200186535,0.38279585261884214
10,4,412772,0.19635893363995005,0.9973085440281534,0.20171575964357955,0.1990373466417648,0.9272818892754353,0.4448048781509607,0.4379891533557877,0.400109139214851
10,5,113298,0.10287424759033272,0.9946868335918353,0.20118549213971218,0.15202986986502245,0.8218534863195057,0.4490414430098698,0.4800244859067849,0.4523425060673679
