client_id,feature,server_shap,client_shap,absolute_difference
1,Header_Length,0.002627518668135147,0.0034902191123354935,0.0008627004442003463
1,Protocol Type,0.0004092935244134951,0.0005671519084796097,0.0001578583840661146
1,Time_To_Live,0.004077931873897251,0.016166747916403067,0.012088816042505815
1,Rate,0.0004023156871003551,0.0008774696911921723,0.00047515400409181715
1,fin_flag_number,4.0076062223550647e-05,1.6611512259461545e-05,2.3464549964089102e-05
1,syn_flag_number,0.0035289043353227633,0.009331740078034606,0.005802835742711843
1,rst_flag_number,1.0039902116993977e-05,1.7892498276113926e-05,7.85259615911995e-06
1,psh_flag_number,5.5621067339156564e-05,4.363032927064017e-05,1.1990738068516391e-05
1,ack_flag_number,0.003409782238318839,0.01185047054164394,0.008440688303325101
1,ece_flag_number,0.0,0.0,0.0
1,cwr_flag_number,0.0,0.0,0.0
1,ack_count,0.0029279157255156086,0.003244495906637925,0.00031658018112231626
1,syn_count,0.003706049209523428,0.0066528131482336056,0.0029467639387101775
1,fin_count,0.008977181362557683,0.004385981351637825,0.004591200010919857
1,rst_count,0.0036856586940901413,0.00187547386863649,0.0018101848254536512
1,HTTP,4.651722080832522e-06,1.661737400948372e-05,1.1965651928651198e-05
1,HTTPS,3.58757838423919e-05,1.5990585066770084e-05,1.9885198775621814e-05
1,DNS,3.227432865250606e-07,2.8787892675721796e-06,2.556045981047119e-06
1,Telnet,0.0,0.0,0.0
1,SMTP,0.0,0.0,0.0
1,SSH,0.0,0.0,0.0
1,IRC,0.0,0.0,0.0
1,TCP,0.0010607872613194707,0.0012452201703626931,0.00018443290904322242
1,UDP,0.012497785662926253,0.0075534551460926785,0.0049443305168335745
1,DHCP,3.095210183133435e-08,0.0,3.095210183133435e-08
1,ARP,2.855359712589946e-07,1.2423701009724647e-05,1.2138165038465653e-05
1,ICMP,0.0002099717435120357,0.00046784181304091935,0.0002578700695288836
1,IGMP,0.0,1.9359445680227262e-07,1.9359445680227262e-07
1,IPv,2.1392050293403643e-07,5.082859023746733e-06,4.868938520812696e-06
1,LLC,1.3294025426585709e-07,6.467038791208569e-06,6.334098536942712e-06
1,Tot sum,0.08696625464072127,0.20226091020469464,0.11529465556397336
1,Min,0.0046764790993798966,0.006871382526524654,0.0021949034271447577
1,Max,0.0037762391569036557,0.008073384718574874,0.004297145561671219
1,AVG,0.07464789175703107,0.1613757208652844,0.08672782910825333
1,Std,0.009843910859809029,0.04341356288531252,0.033569652025503494
1,Tot size,0.05475370806515501,0.1262822672887913,0.0715285592236363
1,IAT,0.0018477492307721831,0.02559158384406634,0.023743834613294157
1,Number,0.0010641818029051473,0.0035811993273171085,0.002517017524411961
1,Variance,0.05699135345395973,0.08910890115931969,0.032117547705359954
2,Header_Length,0.002627518668135147,0.007432134411433152,0.004804615743298005
2,Protocol Type,0.0004092935244134951,0.0005057188386764889,9.64253142629938e-05
2,Time_To_Live,0.004077931873897251,0.00988543610284562,0.005807504228948369
2,Rate,0.0004023156871003551,0.0008548914780948989,0.0004525757909945438
2,fin_flag_number,4.0076062223550647e-05,0.0001011473369249852,6.107127470143456e-05
2,syn_flag_number,0.0035289043353227633,0.006997635040698924,0.0034687307053761604
2,rst_flag_number,1.0039902116993977e-05,5.782622848063829e-05,4.7786326363644314e-05
2,psh_flag_number,5.5621067339156564e-05,7.120843439410058e-05,1.5587367054944014e-05
2,ack_flag_number,0.003409782238318839,0.01439064550304323,0.010980863264724392
2,ece_flag_number,0.0,3.8538796616194303e-07,3.8538796616194303e-07
2,cwr_flag_number,0.0,5.619310741167283e-07,5.619310741167283e-07
2,ack_count,0.0029279157255156086,0.007194366392515406,0.004266450666999797
2,syn_count,0.003706049209523428,0.005803096088297367,0.0020970468787739386
2,fin_count,0.008977181362557683,0.02718829078655513,0.018211109423997448
2,rst_count,0.0036856586940901413,0.013674230577457269,0.009988571883367128
2,HTTP,4.651722080832522e-06,0.0002613868468264613,0.00025673512474562877
2,HTTPS,3.58757838423919e-05,6.969725134991501e-05,3.382146750752311e-05
2,DNS,3.227432865250606e-07,2.7184952108627485e-06,2.395751924337688e-06
2,Telnet,0.0,0.0,0.0
2,SMTP,0.0,0.0,0.0
2,SSH,0.0,9.082261698267757e-08,9.082261698267757e-08
2,IRC,0.0,0.0,0.0
2,TCP,0.0010607872613194707,0.0037071515263206968,0.002646364265001226
2,UDP,0.012497785662926253,0.015099659352401318,0.002601873689475065
2,DHCP,3.095210183133435e-08,0.0,3.095210183133435e-08
2,ARP,2.855359712589946e-07,7.2048211894541364e-06,6.9192852181951415e-06
2,ICMP,0.0002099717435120357,0.00014800182047974554,6.196992303229016e-05
2,IGMP,0.0,2.0139400191965252e-08,2.0139400191965252e-08
2,IPv,2.1392050293403643e-07,1.8839830176714576e-06,1.6700625147374212e-06
2,LLC,1.3294025426585709e-07,3.025775002744191e-06,2.892834748478334e-06
2,Tot sum,0.08696625464072127,0.30975249297353,0.22278623833280875
2,Min,0.0046764790993798966,0.00966751414494631,0.004991035045566414
2,Max,0.0037762391569036557,0.007457544460496025,0.0036813053035923693
2,AVG,0.07464789175703107,0.18407842163856003,0.10943052988152896
2,Std,0.009843910859809029,0.03094149837804707,0.021097587518238044
2,Tot size,0.05475370806515501,0.15609010902635417,0.10133640096119917
2,IAT,0.0018477492307721831,0.042984663224046926,0.041136913993274744
