client_id,server_round,cosine_similarity,spearman_rank_correlation,top_10_overlap
1,10,0.9832633482725232,0.9594869706840391,0.7
2,10,0.9836785183137912,0.9609044186922657,0.7
3,10,0.9899138027999563,0.9647674419422252,0.7
4,10,0.9642108790919263,0.9648461574321983,0.8
5,10,0.9599347801083423,0.9580618892508145,0.8
