round,client_id,num_examples,size_weight,consensus_alignment,shap_stability,shap_quality,validation_f1,utility_score,utility_weight,final_weight,local_loss,local_accuracy,local_balanced_accuracy,local_precision,local_recall,local_f1,shap_source_round,shap_calculated
1,1,1225117,0.47535675512502046,0.9405583453721311,1.0,0.9583908417604918,0.37171449913298726,0.35624777171864325,0.22020158959176264,0.42432572201836893,0.10362302511930466,0.9601377824213139,0.4972952935871205,0.36356929137834165,0.4972952935871205,0.40014428124134893,1,1
1,2,119203,0.04625186923466723,0.9874024638745129,1.0,0.991181724712159,0.28199703645761737,0.2795103089597788,0.17276912089386415,0.07155531956650663,0.600825846195221,0.7477265863561625,0.40795034244395556,0.36228669669720315,0.40795034244395556,0.37894955214749104,1,1
1,3,706868,0.27427133798789255,0.964522436177457,1.0,0.97516570532422,0.3777278012455644,0.36834719772219754,0.22768040925223978,0.264953152240762,0.5443727374076843,0.7212394889032243,0.45501822795774827,0.3583222851898866,0.45501822795774827,0.3622121450573508,1,1
1,4,412772,0.16015936316814228,0.9612649514936916,1.0,0.9728854660455841,0.2866799744680675,0.27890678056630197,0.17239607179108318,0.16260670489273046,0.5229337811470032,0.8180981268109271,0.40387526574449073,0.27978729746497377,0.40387526574449073,0.3118902101161656,1,1
1,5,113298,0.04396067448427748,0.9677625301373239,1.0,0.9774337710961267,0.34254346859922546,0.3348135542772886,0.20695280847105038,0.07655910128163207,0.8575195074081421,0.6014121800529567,0.43775998236223984,0.34966176750069705,0.43775998236223984,0.3426133363152848,1,1
2,1,1225117,0.47535675512502046,0.9405583453721311,1.0,0.9583908417604918,0.3725188862074914,0.35701868892407856,0.2104860384781962,0.4223826117956556,0.07387478649616241,0.9684863523573201,0.4906925619834568,0.391694860612481,0.4906925619834568,0.41497340275209876,1,0
2,2,119203,0.04625186923466723,0.9874024638745129,1.0,0.991181724712159,0.29088838813184303,0.28832325424726013,0.1699855538950598,0.07099860616674575,0.515826940536499,0.7785980336230328,0.41906948354979,0.37982419491376607,0.41906948354979,0.3958203670698019,1,0
2,3,706868,0.27427133798789255,0.964522436177457,1.0,0.97516570532422,0.3859876198356522,0.37640188954345066,0.22191371226103102,0.26379981284252024,0.5698413252830505,0.6634185538541632,0.46645986755909746,0.38461374576614676,0.46645986755909746,0.3751660819711573,1,0
2,4,412772,0.16015936316814228,0.9612649514936916,1.0,0.9728854660455841,0.30123264213665957,0.2930648594332667,0.17278104254199286,0.1626836990429124,0.5194665789604187,0.8216933319120483,0.4257913753818934,0.2830837163014874,0.4257913753818934,0.3139686875838781,1,0
2,5,113298,0.04396067448427748,0.9677625301373239,1.0,0.9774337710961267,0.39015900286638516,0.38135458549879536,0.2248336528237201,0.08013527015216601,0.7839261889457703,0.566531332744925,0.4733002230844343,0.4043692413012417,0.4733002230844343,0.3664939769543313,1,0
