round,client_id,num_examples,loss,accuracy,balanced_accuracy,precision,recall,f1
1,1,128863,0.4999280273914337,0.8263194245050945,0.45356636451790194,0.5058689611847671,0.45356636451790194,0.42241831226513654
1,2,128863,0.7345591187477112,0.4661927783770361,0.46257648056076694,0.40897144132070856,0.46257648056076694,0.2740069769174319
1,3,128863,0.5451949238777161,0.757641836679264,0.46467905445536845,0.5648604960422234,0.46467905445536845,0.39352442660921244
1,4,128863,0.4091247618198395,0.9005455406128989,0.4674097299518279,0.3924212074732686,0.4674097299518279,0.3291058375080572
1,5,128863,0.3648032248020172,0.9313767334300769,0.4480227523732475,0.23149431729015207,0.4480227523732475,0.22556991857965247
2,1,128863,0.4960727393627167,0.8340951242792733,0.5051619400108363,0.5112455600853117,0.5051619400108363,0.45122416153147216
2,2,128863,0.6805582642555237,0.5410940300939757,0.49178294519562044,0.4221917685217676,0.49178294519562044,0.33199609831822746
2,3,128863,0.5364075303077698,0.7789900902508866,0.4934330662910816,0.5549501717447948,0.4934330662910816,0.44444490085697597
2,4,128863,0.4145294427871704,0.8944848404895122,0.48540585888017507,0.3994355937092181,0.48540585888017507,0.3647587493919426
2,5,128863,0.3743285536766052,0.9217463507756299,0.47457071616455826,0.21343104069724766,0.47457071616455826,0.23183875435760762
3,1,128863,0.4674966335296631,0.8499724513630755,0.49922767752646274,0.585851125477119,0.49922767752646274,0.4503196463107329
3,2,128863,0.6677557826042175,0.4917004881152852,0.4888560911842767,0.49256188977088955,0.4888560911842767,0.32639991850095545
3,3,128863,0.508806049823761,0.7860285729806074,0.48714653001337715,0.5793580082173609,0.48714653001337715,0.4388323685339519
3,4,128863,0.37876445055007935,0.9312137696623546,0.48941135339030534,0.41293532724508974,0.48941135339030534,0.3815556146794314
3,5,128863,0.3395901620388031,0.9607102116200926,0.46056355897081735,0.21786234722883882,0.46056355897081735,0.24132825115463122
4,1,128863,0.45793822407722473,0.8501354151307978,0.48214520370796754,0.5806791643201492,0.48214520370796754,0.42102018844524053
4,2,128863,0.671624481678009,0.47879530974756135,0.4764393043681302,0.4881843768143362,0.4764393043681302,0.2956441681937215
4,3,128863,0.4871850311756134,0.7877978938873067,0.4710890486161559,0.6051559704946559,0.4710890486161559,0.4150554849902271
4,4,128863,0.3589456081390381,0.9393774784073008,0.4623334986758483,0.4097944699388245,0.4623334986758483,0.37464108558666875
4,5,128863,0.32463303208351135,0.96945593382119,0.46509445989016884,0.2247727571316205,0.46509445989016884,0.25066908202033283
5,1,128863,0.4390619695186615,0.8532472470763524,0.4987561222292087,0.5686440430230153,0.4987561222292087,0.45045718652504446
5,2,128863,0.6587235927581787,0.484025670673506,0.4879006890482045,0.47945364140368085,0.4879006890482045,0.32764061813884543
5,3,128863,0.4800620377063751,0.7876892513754918,0.4858518555647563,0.579199617870722,0.4858518555647563,0.4366160731432278
5,4,128863,0.3570001721382141,0.937220148529834,0.4872772414291767,0.41993875830973526,0.4872772414291767,0.38482016524317514
5,5,128863,0.3207700550556183,0.9675391695055989,0.45919152867810664,0.2283474964612566,0.45919152867810664,0.2540053179898773
6,1,128863,0.41875210404396057,0.8576938298813469,0.499125986776184,0.5418671697975603,0.499125986776184,0.45237682988993777
6,2,128863,0.6472428441047668,0.4824813949698517,0.48945725858456246,0.5013450985197151,0.48945725858456246,0.33636036657093665
6,3,128863,0.4711613357067108,0.7909873276270147,0.48561190078980426,0.5757585970055998,0.48561190078980426,0.43523462816478287
6,4,128863,0.3495746850967407,0.9438085408534646,0.48726128363369786,0.4277789328985039,0.48726128363369786,0.3870853444894165
6,5,128863,0.31097522377967834,0.9746242133118118,0.46020767573339477,0.24100988969403517,0.46020767573339477,0.27052070699647873
7,1,128863,0.4052774906158447,0.8620240099951111,0.5072807391190025,0.6000106281747614,0.5072807391190025,0.46747173358708893
7,2,128863,0.6336950659751892,0.5079115029139474,0.49905648474110453,0.5177915844203527,0.49905648474110453,0.37659162651583195
7,3,128863,0.461097776889801,0.7992907196014372,0.4957723403011417,0.604195431878377,0.4957723403011417,0.45682568984616323
7,4,128863,0.34312450885772705,0.9447009614862295,0.49624685451471373,0.4484974609320589,0.49624685451471373,0.4085706000048123
7,5,128863,0.3037562966346741,0.9737240324996314,0.46542511087612704,0.2534105906681304,0.46542511087612704,0.2849332505965944
