round,test_loss,val_accuracy,test_accuracy,val_balanced_accuracy,test_balanced_accuracy,val_precision,test_precision,val_recall,test_recall,val_f1,test_f1
0,2.095327854156494,0.21650388878955837,0.2166591237980299,0.08935543975449423,0.09159831875792997,0.10367095161513132,0.10436731150440282,0.08935543975449423,0.09159831875792997,0.07718706060594804,0.0779460163000462
1,0.5082882642745972,0.7766236813874486,0.7781949635986747,0.46372984644657833,0.46193155847852996,0.5665021813171643,0.5558525232930573,0.46372984644657833,0.46193155847852996,0.3959576507810264,0.39401228500530533
2,0.49847668409347534,0.7940282495977115,0.7950686401045944,0.4890720510544332,0.4905440758718581,0.5578117024289468,0.5608145644119639,0.4890720510544332,0.4905440758718581,0.4487694271388306,0.45195613223393355
3,0.47111108899116516,0.8032641247988557,0.804287701771736,0.48832702113174375,0.48524179086306923,0.6377482080325931,0.5812899784021006,0.48832702113174375,0.48524179086306923,0.45560001133294864,0.45003378791305215
4,0.45877188444137573,0.8045715626676202,0.8056901166071618,0.47178945789947885,0.4708103221764018,0.6519772058653551,0.5943391765333248,0.47178945789947885,0.4708103221764018,0.4269629403538514,0.4254938923377928
5,0.44979754090309143,0.8056108081530484,0.8064946892617487,0.485101705728876,0.4842385946948813,0.63571198830884,0.5870117334122059,0.485101705728876,0.4842385946948813,0.45170117605836413,0.4502738311270124
6,0.43838152289390564,0.8095387091006615,0.8101990758589093,0.48612181759498097,0.4841444729552197,0.6554612064804228,0.5919635378702125,0.48612181759498097,0.4841444729552197,0.4572294909219307,0.45342923435368326
7,0.42836636304855347,0.8169978097622027,0.8171496896249238,0.49746970063288265,0.49660099464513524,0.6557999226859044,0.6400128748156423,0.49746970063288265,0.49660099464513524,0.48316754363618636,0.4815639154137507
8,0.4290369749069214,0.8203222778473092,0.8199321700553702,0.509551315758019,0.5082176032724941,0.6504052463768767,0.6324128478184344,0.509551315758019,0.5082176032724941,0.5033617025962954,0.5008939202540577
9,0.41663476824760437,0.8232500446987305,0.8229102063393621,0.5021020045999979,0.5018712813410754,0.6643456475852253,0.646889422288134,0.5021020045999979,0.5018712813410754,0.49547945390688936,0.4947075679215673
10,0.4115932583808899,0.8237864294654031,0.823642143962632,0.5023894001232214,0.5007773703994125,0.6809630608542561,0.6479007615734368,0.5023894001232214,0.5007773703994125,0.4965112193466025,0.493087533177954
