round,client_id,num_examples,size_weight,shap_weight,performance_weight,final_weight,local_f1
1,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.20340724564294158
1,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.23940161159730178
1,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.24447954112106993
1,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.223348564528059
1,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.19983032965189676
2,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.21479201594387487
2,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.24229283927820255
2,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.26162165588492964
2,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.24620514068181545
2,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.22391933437709235
3,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.23936586520609732
3,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.2633218706996794
3,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.28407825458623726
3,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.2573757846005579
3,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.2402899370960927
4,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.25797279125173633
4,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.26836430478546835
4,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.2762087740229354
4,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.25843366585942085
4,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.25923439392270364
5,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.2524874539737031
5,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.27621354093900724
5,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.2926889530322965
5,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.26767591465932095
5,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.26783129760000746
6,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.262241819339498
6,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.2793628169846279
6,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.29586871818406024
6,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.2675856006376622
6,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.279220992997603
7,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.27422876536548085
7,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.2944647748793462
7,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.2820837767107887
7,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.2649291271658936
7,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.2736129310553834
8,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.27313047463688495
8,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.31038749238655194
8,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.298952060795915
8,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.26199159914730874
8,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.28568027393091605
9,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.27289544442311414
9,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.2976921017190717
9,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.2873931669783962
9,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.2698410699607323
9,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.2917107368196414
10,1,478837,0.18579326780371536,0.2,0.2,0.18579326780371536,0.2947861383551191
10,2,477793,0.185388185966708,0.2,0.2,0.185388185966708,0.3001975955255191
10,3,597080,0.23167266593901967,0.2,0.2,0.23167266593901967,0.28836205518688673
10,4,655763,0.2544422228749403,0.2,0.2,0.2544422228749403,0.28932115860417296
10,5,367784,0.1427036574156167,0.2,0.2,0.1427036574156167,0.2984554406577774
