,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,1899,0,0,0,632,79,0
true_DDOS,17,41791,5044,92,11,11,0
true_DOS,0,303,348,0,0,1,0
true_MIRAI,0,16,6,1764,0,6,0
true_RECON,780,0,1,0,2012,66,0
true_SPOOFING,5,0,0,0,7,6,0
true_WEB,35,0,0,0,60,4,0
