,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,3074,0,0,0,977,147,0
true_DDOS,35,119879,9110,277,55,11,2
true_DOS,12,18833,11894,7,15,5,0
true_MIRAI,3,77,14,9899,0,15,0
true_RECON,781,0,0,0,1761,83,0
true_SPOOFING,985,0,0,0,403,478,0
true_WEB,61,0,0,0,71,13,0
