round,client_id,num_examples,loss,accuracy,balanced_accuracy,precision,recall,f1
1,1,110487,0.4631783664226532,0.8678306045055074,0.5316148258044711,0.5130947994526628,0.5316148258044711,0.482944349358958
1,2,24132,0.6051510572433472,0.6718465108569535,0.5314561927587762,0.48237353272690214,0.5314561927587762,0.39365990202940127
1,3,54996,0.4730422794818878,0.8606625936431741,0.5359822421599054,0.44050861875088104,0.5359822421599054,0.4581005589202685
1,4,80554,0.49975132942199707,0.7901780172306776,0.5155758582901839,0.5103748148960839,0.5155758582901839,0.44344535620434833
1,5,374148,0.5380920171737671,0.7383682393063707,0.5279926847980752,0.4582220197934403,0.5279926847980752,0.4280133469178124
2,1,110487,0.40800485014915466,0.9213844162661671,0.5370784792643096,0.5397997354517791,0.5370784792643096,0.5200862630078578
2,2,24132,0.543535590171814,0.6880076247306481,0.5375679322031612,0.48650945012010466,0.5375679322031612,0.39304844438832187
2,3,54996,0.4128098785877228,0.9185940795694232,0.5407598460374657,0.4788012922840948,0.5407598460374657,0.49024913823069055
2,4,80554,0.44583946466445923,0.8208903344340442,0.5241284758358777,0.5461385085748023,0.5241284758358777,0.48421748042938606
2,5,374148,0.47697213292121887,0.7640318804323423,0.5389325327822049,0.5131595781255646,0.5389325327822049,0.4753602296298034
3,1,110487,0.3957712650299072,0.88674685709631,0.5591936740243202,0.5457704265814606,0.5591936740243202,0.5129894715357467
3,2,24132,0.5372855067253113,0.7153986408088845,0.5615347775555245,0.5097288943724946,0.5615347775555245,0.43240769228192516
3,3,54996,0.4049035310745239,0.8840461124445415,0.5717167171317784,0.4895913183140683,0.5717167171317784,0.4997141427329446
3,4,80554,0.4240666627883911,0.8238076321473794,0.545369773498837,0.5454926462674514,0.545369773498837,0.49981837832458575
3,5,374148,0.4662433862686157,0.7777510503864781,0.5566769756119033,0.5415102386711426,0.5566769756119033,0.5111236621116461
4,1,110487,0.36612752079963684,0.9147320499244255,0.5599770664349946,0.5382033983989277,0.5599770664349946,0.5280613802658471
4,2,24132,0.5055071711540222,0.7224846676611968,0.5703180682533248,0.5470245974696752,0.5703180682533248,0.4620255341097434
4,3,54996,0.389452189207077,0.9125572768928649,0.5735642809508151,0.49144105233326585,0.5735642809508151,0.5002487633638972
4,4,80554,0.38990405201911926,0.8380341137621968,0.5495145138111037,0.5646840898369466,0.5495145138111037,0.5233681050949756
4,5,374148,0.44728797674179077,0.7877871858195152,0.5638649626069292,0.6023058757814743,0.5638649626069292,0.5469150941561499
5,1,110487,0.36055177450180054,0.9005674875777241,0.5649790802232038,0.5456139128323845,0.5649790802232038,0.5267596345035426
5,2,24132,0.4959407448768616,0.7294878170064645,0.5666199321260275,0.5505207249459164,0.5666199321260275,0.46736730907314844
5,3,54996,0.38558393716812134,0.8971379736708124,0.5779068175360477,0.49425726679653215,0.5779068175360477,0.5015408514566525
5,4,80554,0.38464128971099854,0.835352682672493,0.5557285250855464,0.568739944706749,0.5557285250855464,0.5280781665686396
5,5,374148,0.4365204870700836,0.7899895228626105,0.568796605769652,0.5923022273631976,0.568796605769652,0.5577687328441664
6,1,110487,0.3566938042640686,0.9135101867187995,0.569314760533672,0.5570598391561503,0.569314760533672,0.5372713980046281
6,2,24132,0.49039480090141296,0.7271258080556937,0.5558078242520217,0.5539515360147443,0.5558078242520217,0.4655720286226414
6,3,54996,0.38247573375701904,0.9084297039784711,0.5771493928838235,0.4978801436985489,0.5771493928838235,0.5047351943501796
6,4,80554,0.38099274039268494,0.8378230752042108,0.5527124828123876,0.5722361200129071,0.5527124828123876,0.5277050178057806
6,5,374148,0.43134063482284546,0.7926676074708404,0.5704447002650271,0.6031877678946916,0.5704447002650271,0.5651178226888509
7,1,110487,0.37499693036079407,0.8796691013422394,0.5906085615920379,0.5466396508242016,0.5906085615920379,0.5364927934229224
7,2,24132,0.48653802275657654,0.7451516658378916,0.5913646808752098,0.5478588348658323,0.5913646808752098,0.49371962957697985
7,3,54996,0.40051549673080444,0.8730634955269474,0.6061975053810525,0.4953360417935285,0.6061975053810525,0.4987279816432587
7,4,80554,0.38454174995422363,0.8328698761079524,0.580546434797796,0.5695194930310755,0.580546434797796,0.5561402860423214
7,5,374148,0.4349035322666168,0.7939077584271464,0.592059233716574,0.5904984870805553,0.592059233716574,0.5802705829044602
8,1,110487,0.37398433685302734,0.8746096825870917,0.5888027897020807,0.5534287137640682,0.5888027897020807,0.5316668783737233
8,2,24132,0.49003952741622925,0.7427482181335986,0.5873208193577143,0.5465823945122896,0.5873208193577143,0.4848880135648784
8,3,54996,0.3959181308746338,0.869517783111499,0.5960847638261232,0.49646220377457767,0.5960847638261232,0.5021046541910176
8,4,80554,0.38596245646476746,0.8318767534821362,0.5770204300528603,0.5714075863544035,0.5770204300528603,0.5474551688664998
8,5,374148,0.43357062339782715,0.7940039770358254,0.5907181090988878,0.5991173270800256,0.5907181090988878,0.5778515501357796
9,1,110487,0.35478946566581726,0.9069030745698589,0.5832379256350324,0.5446859750983676,0.5832379256350324,0.5432733036721695
9,2,24132,0.4802566170692444,0.7413393005138406,0.5875231313381668,0.5529304801159485,0.5875231313381668,0.49355900929679436
9,3,54996,0.37972918152809143,0.9012291803040221,0.5922483917078629,0.49678201465314586,0.5922483917078629,0.5006073940850838
9,4,80554,0.3757779896259308,0.8401444993420563,0.5734073418353234,0.5763095549968046,0.5734073418353234,0.5559534739899296
9,5,374148,0.4258626401424408,0.7958615307311545,0.5891257336611293,0.597129330071107,0.5891257336611293,0.5810258437575495
10,1,110487,0.3645613193511963,0.8782119163340484,0.5933168197251916,0.5548831341364895,0.5933168197251916,0.5380167773618151
10,2,24132,0.4838273823261261,0.7466848997182165,0.592977112095902,0.5498855186578128,0.592977112095902,0.4938417771161124
10,3,54996,0.38843271136283875,0.8721361553567533,0.6102012661539316,0.4967847015976229,0.6102012661539316,0.5025747038737632
10,4,80554,0.3787153363227844,0.8339623109963503,0.580366366841303,0.5770426422209113,0.580366366841303,0.5546978621813184
10,5,374148,0.42806825041770935,0.7960245678180827,0.5959366374004392,0.6031110290552083,0.5959366374004392,0.5848423209218562
