,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,5,0,0,0,2,0,0
true_DDOS,4,13488,961,35,3,5,0
true_DOS,0,4202,2707,1,4,1,0
true_MIRAI,0,5,1,822,0,1,0
true_RECON,94,0,0,0,251,26,0
true_SPOOFING,604,1,2,0,287,617,0
true_WEB,1,0,0,0,1,1,0
