round,client_id,num_examples,size_weight,consensus_alignment,shap_stability,shap_quality,validation_f1,utility_score,utility_weight,final_weight,local_loss,local_accuracy,local_balanced_accuracy,local_precision,local_recall,local_f1,shap_source_round,shap_calculated
1,1,1225117,0.47535675512502046,0.8274642707075464,1.0,0.8792249894952824,0.3526507790769235,0.3100593775294112,0.21445858315808944,0.42317712073163416,0.1562725305557251,0.9704224892255453,0.42003566325417246,0.44215346220821106,0.42003566325417246,0.4145634635312212,1,1
1,2,119203,0.04625186923466723,0.9892747826469184,1.0,0.9924923478528429,0.2452610995118053,0.2434197644914414,0.16836600209119132,0.07067469580597203,0.861926794052124,0.8103083789134593,0.36813351515774717,0.41030126841790615,0.36813351515774717,0.3579454539239568,1,1
1,3,706868,0.27427133798789255,0.9094256532842875,1.0,0.9365979572990011,0.3409753001759214,0.31935676963418175,0.2208893047629058,0.2635949313428952,0.6592304706573486,0.5247682748786202,0.3847781008333062,0.39519770530321646,0.3847781008333062,0.315319181165891,1,1
1,4,412772,0.16015936316814228,0.8619849226499924,1.0,0.9033894458549947,0.2945895026356504,0.26612904754071876,0.1840733182384737,0.16494215418220856,0.5496236085891724,0.9147907319294913,0.3964938763331568,0.5183063372599783,0.3964938763331568,0.4005984727338652,1,1
1,5,113298,0.04396067448427748,0.9379623080418948,1.0,0.9565736156293263,0.32074108882231067,0.30681246301564463,0.21221279174933977,0.07761109793728993,1.4985051155090332,0.4442012356575463,0.4332322407169824,0.40752572282716565,0.4332322407169824,0.3362063667123385,1,1
2,1,1225117,0.47535675512502046,0.8274642707075464,1.0,0.8792249894952824,0.33970165774372973,0.29867418646126076,0.20806886757024598,0.4218991776140656,0.09130942076444626,0.9799007444168735,0.4547199782833052,0.4302814969988666,0.4547199782833052,0.428851096842595,1,0
2,2,119203,0.04625186923466723,0.9892747826469184,1.0,0.9924923478528429,0.2499098847657961,0.2480336482828384,0.1727905612767799,0.07155960764308977,0.5912293195724487,0.8042012013019697,0.3481245906981578,0.4024026492354481,0.3481245906981578,0.35220189680460834,1,0
2,3,706868,0.27427133798789255,0.9094256532842875,1.0,0.9365979572990011,0.3049303614482113,0.28559715365084076,0.19895886231575455,0.25920884285346496,0.6576573252677917,0.381308072748673,0.3834389965781099,0.4048119631888017,0.3834389965781099,0.3025098034364424,1,0
2,4,412772,0.16015936316814228,0.8619849226499924,1.0,0.9033894458549947,0.32719360193456976,0.2955832467389707,0.20591559033070722,0.16931060860065528,0.4162989854812622,0.9214772319827895,0.41471390951458764,0.472400536279309,0.41471390951458764,0.42624812829458936,1,0
2,5,113298,0.04396067448427748,0.9379623080418948,1.0,0.9565736156293263,0.3215331019326461,0.307570081860224,0.21426611850651234,0.07802176328872445,0.9700731039047241,0.4045542806707855,0.35969209330229734,0.4019840289249953,0.35969209330229734,0.3020312231412727,1,0
3,1,1225117,0.47535675512502046,0.8274642707075464,1.0,0.8792249894952824,0.3894716188614509,0.34243318000216977,0.21343882989149818,0.42297317007831603,0.09728511422872543,0.9860193287188194,0.48254861458471837,0.4842091749563604,0.48254861458471837,0.4819904877499077,1,0
3,2,119203,0.04625186923466723,0.9892747826469184,1.0,0.9924923478528429,0.2787175321552693,0.27662501787653343,0.17242055846897766,0.07148560708152932,0.5167416930198669,0.8174557900741586,0.3820669565796536,0.4538378192881231,0.3820669565796536,0.39354472586743894,1,0
3,3,706868,0.27427133798789255,0.9094256532842875,1.0,0.9365979572990011,0.37217810650684535,0.3485812543057214,0.2172709287127273,0.2628712561328595,0.5700607895851135,0.5421349268325807,0.481790547277828,0.5291000013585451,0.481790547277828,0.3841253450998363,1,0
3,4,412772,0.16015936316814228,0.8619849226499924,1.0,0.9033894458549947,0.3229241742004426,0.29172629078411966,0.1818331919621659,0.164494128926947,0.3761664032936096,0.928968050158441,0.4361222388468257,0.48729309308921387,0.4361222388468257,0.43737112908922016,1,0
3,5,113298,0.04396067448427748,0.9379623080418948,1.0,0.9565736156293263,0.36065850167667496,0.3449964069563124,0.215036490964631,0.07817583778034819,0.8058993220329285,0.4430008826125331,0.3894591815847733,0.4295397657688368,0.3894591815847733,0.334640059084995,1,0
4,1,1225117,0.47535675512502046,0.8274642707075464,1.0,0.8792249894952824,0.38913856138869407,0.3421403475491838,0.2030732293441449,0.42090004996884534,0.06915056705474854,0.9859605589656524,0.4829324615862197,0.48475927635576826,0.4829324615862197,0.4822077780995822,1,0
4,2,119203,0.04625186923466723,0.9892747826469184,1.0,0.9924923478528429,0.3105701193413346,0.3082384669180188,0.1829511816817577,0.07359173172408533,0.44051194190979004,0.8555753162645549,0.3976066623794088,0.4700329138993245,0.3976066623794088,0.4153137071268628,1,0
4,3,706868,0.27427133798789255,0.9094256532842875,1.0,0.9365979572990011,0.3697817988570535,0.3463368774558664,0.20556402847465902,0.26052987608524586,0.5427296757698059,0.5486651048563248,0.4674010085559358,0.4616527647603794,0.4674010085559358,0.37792553894367964,1,0
4,4,412772,0.16015936316814228,0.8619849226499924,1.0,0.9033894458549947,0.32806279484805767,0.2963684664434276,0.17590588770822174,0.16330866807615818,0.33526575565338135,0.9346661110734256,0.440430750675774,0.5050167701160333,0.440430750675774,0.45258666796305386,1,0
4,5,113298,0.04396067448427748,0.9379623080418948,1.0,0.9565736156293263,0.40951213211445836,0.3917285008608018,0.23250567279121662,0.08166967414566531,0.6968892216682434,0.566531332744925,0.46403479819628285,0.43815993169198214,0.46403479819628285,0.38245420910918815,1,0
5,1,1225117,0.47535675512502046,0.9335697367675189,0.8160322092042054,0.8983084784985248,0.39014717707676827,0.3504725170303262,0.23247920342641507,0.4267812447852994,0.07445437461137772,0.9864111270732663,0.4805008281075978,0.48704685006434,0.4805008281075978,0.48098788426890005,5,1
5,2,119203,0.04625186923466723,0.9610169738043777,0.9777839081149108,0.9660470540975374,0.2606589869789695,0.25180884649508184,0.16703255520556434,0.07040800642884665,0.45252835750579834,0.8187980269118486,0.37126927768412366,0.5565156430166303,0.37126927768412366,0.37887582753506777,5,1
5,3,706868,0.27427133798789255,0.9337017356657672,0.6831905650777937,0.8585483844893751,0.24766514300442977,0.21263250842078324,0.14104568483453098,0.24762620735722024,0.9623212218284607,0.2976946321257597,0.30459208850749975,0.4158617124761046,0.30459208850749975,0.24418132842531903,5,1
5,4,412772,0.16015936316814228,0.9301051166760806,0.720286029974549,0.8671593906656212,0.3362276879396996,0.29156299699870053,0.19340270633834314,0.16680803180218245,0.35317227244377136,0.9376508096479412,0.4441348986975738,0.5097003725592466,0.4441348986975738,0.4597741995804116,5,1
5,5,113298,0.04396067448427748,0.9640517761182195,0.9790484717452961,0.9685507848063424,0.4140894405729601,0.4010666526469598,0.2660398501951465,0.08837650962645129,0.7288368940353394,0.6080847308031774,0.46378792868608626,0.44322807721639684,0.46378792868608626,0.40109717848426135,5,1
6,1,1225117,0.47535675512502046,0.9335697367675189,1.0,0.9534988157372633,0.39823284875975606,0.3797145496801041,0.22198110870975088,0.42468162584196645,0.05793890357017517,0.9861858430194593,0.4874354570196225,0.5008057817586393,0.4874354570196225,0.4903065799520248,5,0
6,2,119203,0.04625186923466723,0.9610169738043777,1.0,0.9727118816630642,0.2872966553866059,0.27945687025661037,0.16337047381613615,0.069675590150961,0.5221534967422485,0.8170531190228516,0.3884368121062197,0.5314947083472551,0.3884368121062197,0.41016421271203896,5,0
6,3,706868,0.27427133798789255,0.9337017356657672,1.0,0.953591214966037,0.4017654957387191,0.3831200472129173,0.22397196241466966,0.2642114628732479,1.0468711853027344,0.6823753098156384,0.4763778595711928,0.4335255433805334,0.4763778595711928,0.3979503928726389,5,0
6,4,412772,0.16015936316814228,0.9301051166760806,1.0,0.9510735816732565,0.34067818544526374,0.32401002202937285,0.18941624434392748,0.1660107394032993,0.35606005787849426,0.9361875321000456,0.4476276774161666,0.5770504730405936,0.4476276774161666,0.4653975056931133,5,0
6,5,113298,0.04396067448427748,0.9640517761182195,1.0,0.9748362432827535,0.3531567227569813,0.3442699729024645,0.20126021071551586,0.07542058173052514,0.9884346127510071,0.4157811120917917,0.376984503527116,0.48345190277353906,0.376984503527116,0.3313846669407925,5,0
7,1,1225117,0.47535675512502046,0.9335697367675189,1.0,0.9534988157372633,0.3940402074203956,0.3757168711282128,0.21684966703242345,0.4236553375065011,0.05152486637234688,0.9862870575943581,0.483576460146918,0.48559825012775887,0.483576460146918,0.4830259604802863,5,0
7,2,119203,0.04625186923466723,0.9610169738043777,1.0,0.9727118816630642,0.2815181525329359,0.2738360518726216,0.1580478845459875,0.06861107229693128,0.5167202353477478,0.8181604644139459,0.38920863091278224,0.5456122654424884,0.38920863091278224,0.4069388344442183,5,0
7,3,706868,0.27427133798789255,0.9337017356657672,1.0,0.953591214966037,0.3696258363660084,0.35247195038309953,0.20343357179923185,0.26010378475016044,0.7372576594352722,0.5305571588632737,0.4344633607681913,0.4293027218318384,0.4344633607681913,0.3571981469488573,5,0
7,4,412772,0.16015936316814228,0.9301051166760806,1.0,0.9510735816732565,0.32957123879871697,0.3134464985007879,0.18090954667079603,0.16430939986867305,0.33704304695129395,0.9389687284990261,0.44233891696472877,0.5629472549490517,0.44233891696472877,0.45842260593556633,5,0
7,5,113298,0.04396067448427748,0.9640517761182195,1.0,0.9748362432827535,0.42791094604105945,0.41714309909823544,0.24075932995156119,0.08332040557773422,0.6855052709579468,0.5955869373345102,0.4915893732792809,0.4458596359759387,0.4915893732792809,0.40642493790480416,5,0
8,1,1225117,0.47535675512502046,0.9335697367675189,1.0,0.9534988157372633,0.3996365394308578,0.381052967072661,0.22120042730251605,0.4245254895605196,0.0533820241689682,0.9868910800574637,0.4871739994662557,0.4964697973166578,0.4871739994662557,0.4893276003244869,5,0
8,2,119203,0.04625186923466723,0.9610169738043777,1.0,0.9727118816630642,0.2933661321056519,0.28536072237670373,0.16565128520058245,0.07013175242785027,0.5090623497962952,0.8345693097547062,0.3830425016661144,0.5746442619591839,0.3830425016661144,0.40622742909311793,5,0
8,3,706868,0.27427133798789255,0.9337017356657672,1.0,0.953591214966037,0.33071760266475114,0.31536940053573514,0.18307125828872187,0.25603132204805845,0.7906869053840637,0.4827408639753732,0.38707268584888177,0.4125769788913305,0.38707268584888177,0.32561420437220845,5,0
8,4,412772,0.16015936316814228,0.9301051166760806,1.0,0.9510735816732565,0.3208060868145838,0.3051101940093279,0.1771158109794943,0.1635506527304127,0.3387922942638397,0.9378446212436891,0.4395224733946056,0.5742105445721147,0.4395224733946056,0.45308334352079394,5,0
8,5,113298,0.04396067448427748,0.9640517761182195,1.0,0.9748362432827535,0.44701455352298214,0.43576598804906125,0.25296121822868534,0.08576078323315905,0.6643434166908264,0.6092144748455428,0.4893044368073097,0.447082314237761,0.4893044368073097,0.4121451907750103,5,0
9,1,1225117,0.47535675512502046,0.9335697367675189,1.0,0.9534988157372633,0.35044628274578327,0.33415011557763047,0.19804902338041797,0.4198952087761,0.09870045632123947,0.9737462452657699,0.40509280221849286,0.47545638900967674,0.40509280221849286,0.4324639464339207,5,0
9,2,119203,0.04625186923466723,0.9610169738043777,1.0,0.9727118816630642,0.3015194659740086,0.29329156710562015,0.1738323756990762,0.07176797052754902,0.4459788203239441,0.8595684708566826,0.39971796631739664,0.5260815584414259,0.39971796631739664,0.4180241340661118,5,0
9,3,706868,0.27427133798789255,0.9337017356657672,1.0,0.953591214966037,0.3734229610907793,0.35609285516277145,0.21105437020669612,0.26162794443165327,0.5798675417900085,0.541795402845211,0.4718174756268775,0.4724234171109361,0.4718174756268775,0.37656480145875654,5,0
9,4,412772,0.16015936316814228,0.9301051166760806,1.0,0.9510735816732565,0.3099286366436321,0.2947649385157685,0.17470563521703894,0.16306861757792163,0.3572564423084259,0.9361681509404708,0.43672748031723146,0.564614855427416,0.43672748031723146,0.44673723275667476,5,0
9,5,113298,0.04396067448427748,0.9640517761182195,1.0,0.9748362432827535,0.41946494288618985,0.4089096291119881,0.24235859549677086,0.08364025868677616,0.6796553730964661,0.6276434245366285,0.46392531088744093,0.4732699100174375,0.46392531088744093,0.4108235915089118,5,0
10,1,1225117,0.47535675512502046,0.6963492248169225,0.8847346391308153,0.7528648491110903,0.3902396858711259,0.29379774222052446,0.17432046307446558,0.41514949671490947,0.053824808448553085,0.9866657960036568,0.48524595183329217,0.6325193152627718,0.48524595183329217,0.49132110964335923,10,1
10,2,119203,0.04625186923466723,0.9985258253023576,0.8057845243809064,0.9407034350259222,0.31603325335985155,0.29729356701802995,0.17639465803907814,0.07228042699554942,0.45367860794067383,0.8506090399651018,0.4201739159890817,0.48860350676169106,0.4201739159890817,0.4288324353253311,10,1
10,3,706868,0.27427133798789255,0.9984714938145879,0.9648708701775055,0.9883913067234631,0.3984030382411978,0.39377809956981535,0.23364230149212442,0.2661455306887389,1.6075090169906616,0.6245656922328229,0.48296121991696994,0.4351441845444951,0.48296121991696994,0.39647207501999826,10,1
