,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,1,0,0,0,0,0,0
true_DDOS,9,128351,0,0,0,0,0
true_DOS,0,0,0,0,0,0,0
true_MIRAI,0,0,0,0,0,0,0
true_RECON,405,92,0,0,3,2,0
true_SPOOFING,0,0,0,0,0,0,0
true_WEB,0,0,0,0,0,0,0
