,pred_BENIGN,pred_BRUTEFORCE,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,3603,0,0,0,0,540,55,0
true_BRUTEFORCE,33,0,0,0,0,17,0,0
true_DDOS,198,0,124547,3992,549,82,1,0
true_DOS,183,0,22908,4935,2722,16,2,0
true_MIRAI,12,0,100,1,9885,0,10,0
true_RECON,1167,0,0,0,0,1445,13,0
true_SPOOFING,1287,0,0,1,0,345,233,0
true_WEB,46,0,0,0,0,45,4,0
