round,client_id,num_examples,fedavg_weight,final_weight,warmup,client_score,raw_shap_weight,importance::BENIGN,reliability::BENIGN,similarity::BENIGN,gain::BENIGN,importance::DDOS,reliability::DDOS,similarity::DDOS,gain::DDOS,importance::DOS,reliability::DOS,similarity::DOS,gain::DOS,importance::MIRAI,reliability::MIRAI,similarity::MIRAI,gain::MIRAI,importance::RECON,reliability::RECON,similarity::RECON,gain::RECON,importance::SPOOFING,reliability::SPOOFING,similarity::SPOOFING,gain::SPOOFING,importance::WEB,reliability::WEB,similarity::WEB,gain::WEB
1,1,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,515452,0.2,0.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,515452,0.2,0.20225000754236402,0,0.43613708911354854,0.2150000502824267,0.06978674028728249,0.5464566929133858,0.9498557740180242,0.018887099765634185,0.052087545504016584,0.7349469893978796,0.6707913012248752,0.02811079997462551,0.1645409139918663,0.44153957879448075,0.9227699124413286,0.2177814794424289,0.03919116254531621,0.9422985216976634,0.9860178267944668,0.0028683086260808954,0.16670490883706576,0.0,0.9149102995581282,0.0,0.1395151070297583,0.3880224578914535,0.9573034355892271,0.12412729295697544,0.3681736218046943,0.12284069097888675,0.9041743456442424,0.12284069097888675
3,2,515452,0.2,0.20267780479776118,0,0.43943154360629477,0.21785203198507438,0.06978674028728249,0.5315008844740781,0.9923164784712524,0.003931291326326414,0.052087545504016584,0.6044568245125348,0.48560204549188096,0.0,0.1645409139918663,0.7237862097103224,0.9355546893431004,0.5000281103582705,0.03919116254531621,0.946030223075078,0.985472750395448,0.006600010003495527,0.16670490883706576,0.18558558558558558,0.9797729677680667,0.0,0.1395151070297583,0.2933220625528318,0.8931411350610798,0.02942689761835371,0.3681736218046943,0.0,0.9165340778206794,0.0
3,3,515452,0.2,0.20652006811659165,0,0.4672230000629215,0.24346712077727745,0.06978674028728249,0.5303398058252428,0.8438512645570577,0.002770212677491113,0.052087545504016584,0.7396643471142038,0.8685866274585772,0.03282815769094971,0.1645409139918663,0.48203697244506455,0.9135012166686692,0.2582788730930127,0.03919116254531621,0.9425232530407822,0.981018663811539,0.00309303996919974,0.16670490883706576,0.6123571730850613,0.9175176931594142,0.39150367550477094,0.1395151070297583,0.2537577365163572,0.9248530635866234,0.0,0.3681736218046943,0.0,0.9792914868838406,0.0
3,4,515452,0.2,0.194980625901438,0,0.3722826599566553,0.16653750600958647,0.06978674028728249,0.5213145539906103,0.9334185300262436,0.0,0.052087545504016584,0.6929716399506781,0.6903273000665533,0.0,0.1645409139918663,0.06618705035971223,0.803014813095599,0.0,0.03919116254531621,0.9417661097852028,0.9822324144133422,0.0023358967136203335,0.16670490883706576,0.603167898627244,0.9441019211562081,0.3823144010469536,0.1395151070297583,0.0,0.9593392818019486,0.0,0.3681736218046943,0.0,0.7262819752050322,0.0
