,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,32,0,0,0,1,1,0
true_DDOS,237,125271,2249,537,60,1,1
true_DOS,1,147,19,15,0,0,0
true_MIRAI,1,1,0,169,0,0,0
true_RECON,79,0,0,0,21,0,0
true_SPOOFING,4,0,0,0,0,0,0
true_WEB,14,0,0,0,0,2,0
