,pred_BENIGN,pred_DDOS,pred_DOS,pred_MIRAI,pred_RECON,pred_SPOOFING,pred_WEB
true_BENIGN,4082,0,0,0,60,56,0
true_DDOS,197,126327,2283,490,69,1,2
true_DOS,225,24557,3269,2690,23,2,0
true_MIRAI,9,120,2,9866,0,11,0
true_RECON,2083,0,0,0,486,45,11
true_SPOOFING,1499,0,0,0,50,314,3
true_WEB,127,0,0,0,5,10,3
