round,client_id,num_examples,loss,accuracy,balanced_accuracy,precision,recall,f1
1,1,128863,0.5005159974098206,0.8258227730225123,0.45426228225415155,0.5049020976058989,0.45426228225415155,0.42330129151645085
1,2,128863,0.731975257396698,0.46893212171065396,0.4631642159325077,0.4103232099701519,0.4631642159325077,0.2755048262152159
1,3,128863,0.5465447902679443,0.7574788729115417,0.46513312345744345,0.5644249159161074,0.46513312345744345,0.3939661048304499
1,4,128863,0.41203734278678894,0.8986442966561387,0.46750741323627054,0.39054287445113484,0.46750741323627054,0.3275028419319051
1,5,128863,0.36772552132606506,0.9295453310880547,0.4463326315930959,0.22889677160541572,0.4463326315930959,0.22331981506136264
2,1,128863,0.48038777709007263,0.8471632664147195,0.495042980982645,0.5256430708629825,0.495042980982645,0.43981322649636095
2,2,128863,0.7055832743644714,0.47577659995499094,0.47805963568131915,0.41962811212192486,0.47805963568131915,0.2981065908479281
2,3,128863,0.5286076664924622,0.7794091399393154,0.4784614929561836,0.572586941839918,0.4784614929561836,0.41983960196820885
2,4,128863,0.38854920864105225,0.9291573221172873,0.4807609497655491,0.39806856053165973,0.4807609497655491,0.36196463275675744
2,5,128863,0.34493958950042725,0.9603454831875713,0.45673234150671277,0.20974885513721833,0.45673234150671277,0.22881915107272902
3,1,128863,0.46210089325904846,0.8496542840070462,0.48415199707987594,0.5188546486249285,0.48415199707987594,0.42321369167702994
3,2,128863,0.6930260062217712,0.4762189301816658,0.4611622615585586,0.4175251666754331,0.4611622615585586,0.2830803602174676
3,3,128863,0.5001713633537292,0.7826684152937616,0.4642108025691506,0.5718105278877555,0.4642108025691506,0.4007644696000376
3,4,128863,0.3686421811580658,0.9364130898706378,0.45014042239955393,0.3955984008033875,0.45014042239955393,0.3517698296564031
3,5,128863,0.33186572790145874,0.9682686263706417,0.4597178085212549,0.2178613118685923,0.4597178085212549,0.2390720027168738
4,1,128863,0.4344961941242218,0.8543491925533319,0.4961545814342509,0.5688734647897341,0.4961545814342509,0.4476726035628143
4,2,128863,0.6821565628051758,0.4694287731932362,0.48985938802516943,0.4880299323456401,0.48985938802516943,0.32531233621163025
4,3,128863,0.4847783148288727,0.7885661516494261,0.4867745590976499,0.5806233297703127,0.4867745590976499,0.43877961896359396
4,4,128863,0.3454090356826782,0.9434282920621124,0.4866167260500661,0.41914025048343756,0.4866167260500661,0.38779626421062563
4,5,128863,0.30545151233673096,0.9739956387791686,0.4599773503721167,0.2263783049368344,0.4599773503721167,0.25309536431473095
5,1,128863,0.43775251507759094,0.853930142864903,0.5003691280618462,0.5758258975328793,0.5003691280618462,0.45372902710426455
